RADZIHOVSKY, L,TONER, J
RADZIHOVSKY, L,BALENTS, L
RADZIHOVSKY, L,NELSON, DR
RADZIHOVSKY, L,MARCHETTI, MC
RADZIHOVSKY, L,FREY, E
RADZIHOVSKY, L,GINZBURG, VV
RADZIHOVSKY, L,CLARK, NA
RADZIHOVSKY, L,JACOBSEN, B
RADZIHOVSKY, L,SAUNDERS, K
RADZIHOVSKY, L,LINK, DR
RADZIHOVSKY, L,NATALE, G
RADZIHOVSKY, L,MACLENNAN, JE
RADZIHOVSKY, L,WALSH, M
RADZIHOVSKY, L,KEAST, SS
RADZIHOVSKY, L,NEUBERT, ME
TONER, J,LAMMERT, PE
TONER, J,ROKHSAR, DS
TONER, J,TU, Y
TONER, J,OHERN, CS
TONER, J,RAMASWAMY, S
TONER, J,LUBENSKY, TC
TONER, J,PROST, J
TONER, J,ULM, M
TONER, J,JACOBSEN, B
TONER, J,SAUNDERS, K
BALENTS, L,ZIRNBAUER, MR
BALENTS, L,NAYAK, C
BALENTS, L,SIMON, SH
BALENTS, L,NELSON, DR
BALENTS, L,FISHER, MPA
BALENTS, L,MEZARD, M
BALENTS, L,EGGER, R
BALENTS, L,MARCHETTI, MC
BALENTS, L,BOUCHAUD, J
BALENTS, L,CHEN, L
BALENTS, L,FREY, E
BALENTS, L,LIN, H
BALENTS, L,SENTHIL, T
BALENTS, L,COBDEN, DH
BALENTS, L,VARMA, CM
BALENTS, L,CHO, S
BALENTS, L,BOCKRATH, M
BALENTS, L,MCEUEN, PL
BALENTS, L,SMALLEY, RE
BALENTS, L,KANE, C
BALENTS, L,FISHER, M
BALENTS, L,RINZLER, AG
BALENTS, L,LU, J
NELSON, DR,HATANO, N
NELSON, DR,CHOU, T
NELSON, DR,STERN, A
NELSON, DR,MARCHETTI, MC
NELSON, DR,TAUBER, UC
NELSON, DR,JAIN, S
NELSON, DR,ERTAS, D
NELSON, DR,KAMIEN, RD
NELSON, DR,FREY, E
NELSON, DR,DEEM, MW
NELSON, DR,TRAVESSET, A
NELSON, DR,KATZ, JI
NELSON, DR,BOWICK, MJ
NELSON, DR,CARRARO, C
NELSON, DR,DAHMEN, KA
NELSON, DR,SHNERB, NM
NELSON, DR,LEHRER, RA
NELSON, DR,LUBENSKY, DK
MARCHETTI, MC,VINOKUR, VM
MARCHETTI, MC,LARKIN, AI
MARCHETTI, MC,FISHER, MPA
MARCHETTI, MC,CHEN, L
MARCHETTI, MC,MIDDLETON, AA
MARCHETTI, MC,FALESKI, MC
MARCHETTI, MC,PRELLBERG, T
MARCHETTI, MC,BENETATOS, P
FREY, E,TAUBER, UC
FREY, E,BRUINSMA, R
FREY, E,RAMASWAMY, S
FREY, E,SCHWABL, F
FREY, E,HWA, T
FREY, E,GOETTER, R
FREY, E,KROY, K
FREY, E,BAERMANN, M
FREY, E,SACKMANN, E
FREY, E,JANSSEN, HK
FREY, E,LEVINE, A
FREY, E,PICH, C
FREY, E,WILHELM, J
FREY, E,HENNEBERGER, S
FREY, E,HARTMANN, O
FREY, E,WAEPPLING, R
FREY, E,KRATZER, A
FREY, E,KALVIUS, GM
FREY, E,VILFAN, A
FREY, E,HINNER, B
FREY, E,TEMPEL, M
FREY, E,JANSSEN, H
FREY, E,TAEUBER, UC
FREY, E,MAIER, PG
GINZBURG, VV,BURLATSKY, SF
GINZBURG, VV,PENG, G
GINZBURG, VV,CLARK, NA
GINZBURG, VV,JASNOW, D
GINZBURG, VV,BALAZS, AC
GINZBURG, VV,QIU, F
GINZBURG, VV,PANICONI, M
CLARK, NA,BURLATSKY, SF
CLARK, NA,LINK, DR
CLARK, NA,NATALE, G
CLARK, NA,MACLENNAN, JE
CLARK, NA,WALSH, M
CLARK, NA,KEAST, SS
CLARK, NA,NEUBERT, ME
JACOBSEN, B,SAUNDERS, K
LINK, DR,NATALE, G
LINK, DR,MACLENNAN, JE
LINK, DR,WALSH, M
LINK, DR,KEAST, SS
LINK, DR,NEUBERT, ME
NATALE, G,MACLENNAN, JE
NATALE, G,WALSH, M
NATALE, G,KEAST, SS
NATALE, G,NEUBERT, ME
MACLENNAN, JE,WALSH, M
MACLENNAN, JE,KEAST, SS
MACLENNAN, JE,NEUBERT, ME
WALSH, M,KEAST, SS
WALSH, M,NEUBERT, ME
KEAST, SS,NEUBERT, ME
FRISCHAT, SD,KUHN, R
FRISCHAT, SD,DORON, E
BEENAKKER, CWJ,MELSEN, JA
BEENAKKER, CWJ,BROUWER, PW
BEENAKKER, CWJ,JONG, MJMD
BEENAKKER, CWJ,FRAHM, K
BEENAKKER, CWJ,SILVESTROV, PG
BEENAKKER, CWJ,LEYRONAS, X
BEENAKKER, CWJ,BUTTIKER, M
BEENAKKER, CWJ,LANGEN, SAV
BEENAKKER, CWJ,BLANTER, YM
BEENAKKER, CWJ,SCHOMERUS, H
BEENAKKER, CWJ,PAASSCHENS, JCJ
BEENAKKER, CWJ,MISIRPASHAEV, TS
BEENAKKER, CWJ,FRAHM, KM
BEENAKKER, CWJ,KNOPS, HPA
BEENAKKER, CWJ,TWORZYDLO, J
BEENAKKER, CWJ,PATRA, M
BEENAKKER, CWJ,MISHCHENKO, EG
BEENAKKER, CWJ,BEMMEL, KJHV
MELSEN, JA,BROUWER, PW
MELSEN, JA,CHAO, KA
MELSEN, JA,HANKE, U
MELSEN, JA,FRAHM, KM
MELSEN, JA,MULLER, HO
BROUWER, PW,JONG, MJMD
BROUWER, PW,ZEE, A
BROUWER, PW,MUDRY, C
BROUWER, PW,HALPERIN, BI
BROUWER, PW,OREG, Y
BROUWER, PW,FRAHM, K
BROUWER, PW,SILVESTROV, PG
BROUWER, PW,ALEINER, IL
BROUWER, PW,FURUSAKI, A
BROUWER, PW,SIMONS, BD
BROUWER, PW,BUTTIKER, M
BROUWER, PW,ALTLAND, A
BROUWER, PW,LANGEN, SAV
BROUWER, PW,GURARIE, V
BROUWER, PW,PAASSCHENS, JCJ
BROUWER, PW,GRUZBERG, IA
BROUWER, PW,MISIRPASHAEV, TS
BROUWER, PW,FRAHM, KM
BROUWER, PW,MARCUS, CM
BROUWER, PW,PATEL, SR
BROUWER, PW,HUIBERS, AG
BROUWER, PW,WAINTAL, X
BROUWER, PW,DURUOZ, CI
BROUWER, PW,HARRIS, JS
BROUWER, PW,PATRA, M
BROUWER, PW,BEMMEL, KJHV
JONG, MJMD,PAASSCHENS, JCJ
JONG, MJMD,VISSENBERG, MCJM
FRAHM, K,MUELLERGROELING, A
FRAHM, K,PICHARD, JL
FRAHM, K,WEINMANN, D
FRAHM, K,PICHARD, J
FRAHM, K,MULLERGROELING, A
FRAHM, K,SCHOMERUS, H
FRAHM, K,PATRA, M
SILVESTROV, PG,LEYRONAS, X
SILVESTROV, PG,IMRY, Y
SILVESTROV, PG,LANGEN, SAV
SILVESTROV, PG,PONOMAREV, IV
LEYRONAS, X,COMBESCOT, R
LEYRONAS, X,TWORZYDLO, J
BUTTIKER, M,MELLO, PA
BUTTIKER, M,STAFFORD, CA
BUTTIKER, M,YEYATI, AL
BUTTIKER, M,CHRISTEN, T
BUTTIKER, M,LANGEN, SAV
BUTTIKER, M,TEXIER, C
BUTTIKER, M,BLANTER, YM
BUTTIKER, M,HEKKING, FWJ
BUTTIKER, M,GASPARIAN, V
BUTTIKER, M,FRAHM, KM
BUTTIKER, M,GENEVA, UO
BUTTIKER, M,GOPAR, VA
BUTTIKER, M,PEDERSEN, MH
BUTTIKER, M,PONOMARENKO, VV
BUTTIKER, M,TANIGUCHI, T
BUTTIKER, M,GRAMESPACHER, T
BUTTIKER, M,MARTIN, AM
BUTTIKER, M,THOMAS, H
BUTTIKER, M,CEDRASCHI, P
BUTTIKER, M,SABLIKOV, VA
BUTTIKER, M,POLYAKOV, SV
BUTTIKER, M,MUGA, JG
LANGEN, SAV,MOLENKAMP, LW
LANGEN, SAV,PAASSCHENS, JCJ
LANGEN, SAV,FRAHM, KM
