id,label
0,"BIERMANN, PL"
1,"STANEV, TKGT"
2,"GOLDMAN, I"
3,"WANDEL, A"
4,"PILDIS, RA"
5,"BREGMAN, JN"
6,"EVRARD, AE"
7,"SWARTZ, DA"
8,"SUTHERLAND, PG"
9,"HARKNESS, RP"
10,"BECKER, W"
11,"BARZIER, KTS"
12,"TRUEMPER, J"
13,"ANGELANTONJ, C"
14,"AMENDOLA, L"
15,"LITTERIO, M"
16,"OCCHIONERO, F"
17,"LOEB, A"
18,"BRAINERD, JJ"
19,"MEEGAN, CA"
20,"BRIGGS, MS"
21,"PENDLETON, GN"
22,"BROCK, MN"
23,"MOHR, JJ"
24,"GELLER, DGFMJ"
25,"FARAONI, V"
26,"COOPERSTOCK, FI"
27,"OVERDUIN, JM"
28,"HELBIG, P"
29,"KAYSER, R"
30,"ANDREANI, P"
31,"CASOLI, F"
32,"GERIN, M"
33,"HELENE, DN"
34,"GEORGES, P"
35,"LYON, OD"
36,"MAARTENS, R"
37,"ELLIS, GFR"
38,"STOEGER, WR"
39,"HERNQUIST, L"
40,"SIGURDSSON, S"
41,"BRYAN, GL"
42,"BAHCALL, JN"
43,"KIRHAKOS, S"
44,"SCHNEIDER, DP"
45,"THORSETT, SE"
46,"YOUNG, K"
47,"OBSERVATORY, CS"
48,"EDU, RC"
49,"TOZZI, GBFGP"
50,"STANGA, RM"
51,"UDALSKI, A"
52,"KUBIAK, M"
53,"SZYMANSKI, M"
54,"KALUZNY, J"
55,"MATEO, M"
56,"KRZEMINSKI, W"
57,"LEONARD, S"
58,"LAKE, K"
59,"BERERA, A"
60,"FANG, L"
61,"DAVIS, M"
62,"NUSSER, A"
63,"BUNKER, AJ"
64,"WARREN, SJ"
65,"HEWETT, PC"
66,"CLEMENTS, DL"
67,"WADA, K"
68,"HABE, A"
69,"SOFUE, Y"
70,"BRANCHINI, E"
71,"PLIONIS, M"
72,"MAHABAL, A"
73,"SINGH, AKKP"
74,"PRABHU, PNBTP"
75,"CHEN, GH"
76,"KOCHANEK, CS"
77,"HEWITT, JN"
78,"DUBINSKI, J"
79,"NARAYAN, R"
80,"PHILLIPS, TG"
81,"PAGE, D"
82,"HU, W"
83,"BUNN, EF"
84,"SUGIYAMA, N"
85,"DUFFY, P"
86,"BALL, L"
87,"KIRK, JG"
88,"PELT, J"
89,"REFSDAL, S"
90,"SCHRAMM, T"
91,"SHI, X"
92,"BODO, G"
93,"GHISELLINI, G"
94,"ADAMS, F"
95,"WATKINS, R"
96,"BRANDENBERGER, R"
97,"DAVIS, A"
98,"REES, MJ"
99,"UEDA, H"
100,"YOKOYAMA, J"
101,"VOROBEV, P"
102,"KOLOKOLOV, I"
103,"DANESE, L"
104,"TOFFOLATTI, L"
105,"FRANCESCHINI, A"
106,"MANDOLESI, MBN"
107,"LYTH, DH"
108,"WOSZCZYNA, A"
109,"KOSOWSKY, A"
110,"CAROLLO, M"
111,"ZEEUW, TD"
112,"MAREL, RVD"
113,"DANZIGER, J"
114,"QIAN, E"
115,"JAIN, B"
116,"MO, HJ"
117,"WHITE, SDM"
118,"KATZ, J"
119,"INAGAKI, S"
120,"YAHALOM, A"
121,"FAIZULLIN, R"
122,"BARGE, P"
123,"FR, JSB"
124,"AL, SOE"
125,"BAND, DL"
126,"FORD, LA"
127,"MATTESON, JL"
128,"PACIESAS, WS"
129,"PREECE, RD"
130,"PALMER, DM"
