id,label
0,"SARADZHEV, F"
1,"ANDRADE, MAD"
2,"CIMA, OMD"
3,"MARNELIUS, R"
4,"QUAADE, U"
5,"BATALIN, I"
6,"ROSGEN, M"
7,"VARNHAGEN, R"
8,"HORVATH, Z"
9,"TAKACS, G"
10,"DIXON, G"
11,"ABHIRAMAN, R"
12,"SOMMERFIELD, CM"
13,"UNIVERSITY, Y"
14,"WEGRZYN, P"
15,"KARKOWSKI, J"
16,"SWIERCZYNSKI, Z"
17,"NAFTULIN, S"
18,"RANDJBARDAEMI, S"
19,"STRATHDEE, J"
20,"KAPOOR, AK"
21,"SHARAN, P"
22,"ELIZALDE, E"
23,"ODINTSOV, SD"
24,"JACKIW, R"
25,"DOTSENKO, V"
26,"PICCO, M"
27,"PUJOL, P"
28,"ARATYN, H"
29,"NISSIMOV, E"
30,"PACHEVA, S"
31,"DORN, H"
32,"OTTO, HJ"
33,"KIRITSIS, E"
34,"KOUNNAS, C"
35,"GURARIE, V"
36,"HARVEY, JA"
37,"MOORE, G"
38,"STROMINGER, A"
39,"AHN, C"
40,"LEE, K"
41,"NAM, S"
42,"KUTASOV, D"
43,"SCHWIMMER, A"
44,"WITTE, FMC"
45,"KLEVANSKY, SP"
46,"AVRAMIDI, IG"
47,"SCHIMMING, R"
48,"MATVEEV, VI"
49,"MUSAKHANOV, MM"
50,"MATRASULOV, DU"
51,"KOUBEK, A"
52,"DUFF, MJ"
53,"DANILOV, GS"
54,"WONG, SMH"
55,"BILAL, A"
56,"ILLUMINATI, F"
57,"VIOLA, L"
58,"C, DJF"
59,"NIETO, LM"
60,"ROSASORTIZ, O"
61,"GOMEZ, C"
62,"LOPEZ, E"
63,"PANIAK, L"
64,"WEISS, N"
65,"NAKATSU, T"
66,"TAKASAKI, K"
67,"TSUJIMARU, S"
68,"OLOUGHLIN, M"
69,"CALZETTA, E"
70,"HU, BL"
71,"TORRES, M"
72,"LITIM, D"
73,"TETRADIS, N"
74,"YI, P"
75,"PASQUIER, DBV"
76,"SERBAN, D"
77,"SHIN, H"
78,"SOH, K"
79,"ANO, N"
80,"BUCHBINDER, IL"
81,"KUZENKO, SM"
82,"PETROV, AY"
83,"YAREVSKAYA, JV"
84,"KIRSTEN, K"
85,"ZERBINI, S"
86,"AMBJORN, J"
87,"WATABIKI, Y"
88,"PESANDO, I"
89,"SHTYKOV, N"
90,"VASSILEVICH, DV"
91,"SINGLETON, D"
92,"BANKS, T"
93,"BERKOOZ, M"
94,"STEINHARDT, PJ"
95,"SHIOKAWA, K"
96,"GASPERINI, M"
97,"RICCI, R"
98,"AIDA, T"
99,"KITAZAWA, Y"
100,"NISHIMURA, J"
101,"TSUCHIYA, A"
102,"MAGGIORE, N"
103,"BARBON, JLF"
104,"DEMETERFI, K"
105,"KLEBANOV, IR"
106,"SCHMIDHUBER, C"
107,"SMIRNOV, FA"
108,"DEVCHAND, C"
109,"OGIEVETSKY, V"
110,"HU, Z"
111,"BUCHHOLZ, D"
112,"VERCH, R"
113,"BORDAG, M"
114,"BURGESS, CP"
115,"DERENDINGER, JP"
116,"QUEVEDO, F"
117,"QUIROS, M"
118,"BRUSTEIN, R"
119,"GIOVANNINI, M"
120,"MUKHANOV, VF"
121,"VENEZIANO, G"
122,"TOWNSEND, PK"
123,"PAPADOPOULOS, G"
124,"KEHAGIAS, AA"
125,"PAPANTONOPOULOS, E"
126,"BLUMENHAGEN, R"
127,"WISSKIRCHEN, A"
128,"ARODZ, H"
129,"NURMAGAMBETOV, AY"
130,"TKACH, VI"
131,"BLAU, M"
132,"THOMPSON, G"
133,"LECLAIR, A"
134,"KASTLER, D"
135,"SCHUCKER, T"
136,"UNDERWOOD, J"
137,"SPENCE, B"
138,"MACKAY, NJ"
139,"HENDERSON, RJ"
140,"RAJEEV, SG"
141,"BRAGA, NRF"
142,"WOTZASEK, C"
143,"PELTS, G"
