id,label
0,"ABRAMSON, G"
1,"KUPERMAN, M"
2,"ACEBRON, J"
3,"BONILLA, L"
4,"PEREZVICENTE, C"
5,"RITORT, F"
6,"SPIGLER, R"
7,"ADAMIC, L"
8,"ADAR, E"
9,"HUBERMAN, B"
10,"LUKOSE, R"
11,"PUNIYANI, A"
12,"AERTSEN, A"
13,"GERSTEIN, G"
14,"HABIB, M"
15,"PALM, G"
16,"AFRAIMOVICH, V"
17,"VERICHEV, N"
18,"RABINOVICH, M"
19,"AGRAWAL, H"
20,"AHUJA, R"
21,"MAGNANTI, T"
22,"ORLIN, J"
23,"AIELLO, W"
24,"CHUNG, F"
25,"LU, L"
26,"ALBA, R"
27,"ALBERICH, R"
28,"MIROJULIA, J"
29,"ROSSELLO, F"
30,"ALBERT, R"
31,"ALBERT, I"
32,"NAKARADO, G"
33,"BARABASI, A"
34,"JEONG, H"
35,"ALBERTS, B"
36,"BRAY, D"
37,"LEWIS, J"
38,"RAFF, M"
39,"ROBERTS, K"
40,"WATSON, J"
41,"ALDANA, M"
42,"ALDOUS, D"
43,"PITTEL, B"
44,"ALEKSIEJUK, A"
45,"HOLYST, J"
46,"STAUFFER, D"
47,"ALLARIA, E"
48,"ARECCHI, F"
49,"DIGARBO, A"
50,"MEUCCI, R"
51,"ALMAAS, E"
52,"KOVACS, B"
53,"VICSEK, T"
54,"OLTVAI, Z"
55,"KRAPIVSKY, P"
56,"REDNER, S"
57,"KULKARNI, R"
58,"STROUD, D"
59,"ALON, N"
60,"YUSTER, R"
61,"ZWICK, U"
62,"ALON, U"
63,"SURETTE, M"
64,"BARKAI, N"
65,"LEIBER, S"
66,"ALTER, O"
67,"BROWN, P"
68,"BOTSTEIN, D"
69,"AMARAL, L"
70,"SCALA, A"
71,"BARTHELEMY, M"
72,"STANLEY, H"
73,"AMENGUAL, A"
74,"HERNANDEZGARCIA, E"
75,"MONTAGNE, R"
76,"SANMIGUEL, M"
77,"ANCELMEYERS, L"
78,"NEWMAN, M"
79,"MARTIN, M"
80,"SCHRAG, S"
81,"ANDERSON, C"
82,"WASSERMAN, S"
83,"CROUCH, B"
84,"ANDERSON, P"
85,"ARROW, K"
86,"PINES, D"
87,"ANDERSON, R"
88,"MAY, R"
89,"ANDERSSON, H"
90,"ANTAL, T"
91,"APIC, G"
92,"GOUGH, J"
93,"TEICHMANN, S"
94,"ARENAS, A"
95,"CABRALES, A"
96,"DIAZGUILERA, A"
97,"GUIMERA, R"
98,"VEGAREDONDO, F"
99,"DANON, L"
100,"GLEISER, P"
101,"ARITA, M"
102,"ASHWIN, P"
103,"BUESCU, J"
104,"STEWART, I"
105,"ATAY, F"
106,"JOST, J"
107,"WENDE, A"
108,"AUMANN, R"
109,"HART, S"
110,"AXELROD, R"
111,"BADER, G"
112,"HOGUE, C"
113,"BAIESI, M"
114,"PACZUSKI, M"
115,"BAILEY, N"
116,"BAIRD, D"
117,"ULANOWICZ, R"
118,"BAKER, W"
119,"FAULKNER, R"
120,"BAK, P"
121,"SNEPPEN, K"
122,"BALL, F"
123,"MOLLISON, D"
124,"SCALIATOMBA, G"
125,"BALL, P"
126,"BANAVAR, J"
127,"MARITAN, A"
128,"RINALDO, A"
129,"BANKS, D"
130,"CARLEY, K"
131,"BIANCONI, G"
132,"RAVASZ, E"
133,"NEDA, Z"
134,"SCHUBERT, A"
135,"BARAHONA, M"
136,"PECORA, L"
137,"BARBOUR, A"
138,"REINERT, G"
139,"BARJOSEPH, Z"
140,"GERBER, G"
141,"LEE, T"
142,"RINALDI, N"
143,"YOO, J"
144,"ROBERT, F"
145,"GORDON, D"
146,"FRAENKEL, E"
147,"JAAKKOLA, T"
148,"YOUNG, R"
149,"BARRAT, A"
150,"PASTORSATORRAS, R"
151,"VESPIGNANI, A"
152,"WEIGT, M"
153,"BARRETO, E"
154,"SO, P"
155,"GLUCKMANN, B"
156,"SCHIFF, S"
157,"GONDRAN, B"
158,"GUICHARD, E"
159,"BARYAM, Y"
160,"BATAGELJ, V"
161,"MRVAR, A"
162,"BATTISTON, S"
163,"CATANZARO, M"
164,"BATTY, M"
165,"LONGLEY, P"
166,"BAUER, M"
167,"BERNARD, D"
168,"BAVELAS, A"
169,"BCHKLOVSKII, D"
170,"SCHIKORSKI, T"
171,"STEVENS, C"
172,"BEARMAN, P"
173,"MOODY, J"
174,"STOVEL, K"
175,"BEKESSY, A"
176,"BEKESSY, P"
177,"KOMLOS, J"
178,"BELL, H"
179,"BELYKH, I"
180,"BELYKH, V"
181,"HASLER, M"
182,"BENDER, E"
183,"CANFIELD, E"
184,"BENNAIM, E"
185,"FRAUENFELDER, H"
186,"TOROCZKAI, Z"
187,"BERG, J"
188,"LASSIG, M"
189,"WAGNER, A"
190,"BERLOW, E"
191,"BERNARDES, A"
192,"COSTA, U"
193,"ARAUJO, A"
194,"KERTESZ, J"
195,"BERNARD, H"
196,"KILLWORTH, P"
197,"EVANS, M"
198,"MCCARTY, C"
199,"SHELLEY, G"
200,"BHAN, A"
201,"GALAS, D"
202,"DEWEY, T"
203,"CAPOCCI, A"
204,"BIGGS, N"
205,"BILKE, S"
206,"PETERSON, C"
207,"BLANCHARD, P"
208,"CHANG, C"
209,"KRUGER, T"
210,"BLASIUS, B"
211,"HUPPERT, A"
212,"STONE, L"
213,"BLOWER, S"
214,"SAMUEL, M"
215,"WILEY, J"
216,"BOCCALETTI, S"
217,"BRAGARD, J"
218,"MANCINI, H"
219,"KURTHS, J"
220,"VALLADARES, D"
221,"OSIPOV, G"
222,"ZHOU, C"
223,"PELAEZ, A"
224,"MAZA, D"
225,"BOGUNA, M"
226,"BOHLAND, J"
227,"MINAI, A"
228,"BOLLOBAS, B"
229,"RIORDAN, O"
230,"SPENCER, J"
231,"TUSNADY, G"
232,"BONACICH, P"
233,"BONANNO, G"
234,"LILLO, F"
235,"MANTEGNA, R"
236,"BONNEKOH, J"
237,"BORDENS, M"
238,"GOMEZ, I"
239,"BORGATTI, S"
240,"EVERETT, M"
241,"FOSTER, P"
242,"BORGERS, C"
243,"KOPELL, N"
244,"BORNHOLDT, S"
245,"EBEL, H"
246,"ROHLF, T"
247,"SCHUSTER, H"
248,"BOTA, M"
249,"DONG, H"
250,"SWANSON, L"
251,"MENDOZA, C"
252,"HENTSCHEL, H"
253,"BRANDES, U"
254,"BREIGER, R"
255,"BOORMAN, S"
256,"ARABIE, P"
257,"BRESSLER, S"
258,"BRIN, S"
259,"PAGE, L"
260,"BROADBENT, S"
261,"HAMMERSLEY, J"
262,"BRODER, A"
263,"KUMAR, R"
264,"MAGHOUL, F"
265,"RAGHAVAN, P"
266,"RAJAGOPALAN, S"
267,"STATA, R"
268,"TOMKINS, A"
269,"WIENER, J"
270,"BROIDA, A"
271,"CLAFFY, K"
272,"BUCHANAN, M"
273,"BUCHEL, C"
274,"COULL, J"
275,"FRISTON, K"
276,"BUCOLO, M"
277,"FORTUNA, L"
278,"LAROSA, M"
279,"BUHL, J"
280,"GAUTRAIS, J"
281,"SOLE, R"
282,"KUNTZ, P"
283,"VALVERDE, S"
284,"DENEUBOURG, J"
285,"THERAULAZ, G"
286,"BURDA, Z"
287,"CORREIA, J"
288,"KRZYWICKI, A"
289,"JURKIEWICZ, J"
290,"BURIONI, R"
291,"CASSI, D"
292,"VEZZANI, A"
293,"BURNS, G"
294,"YOUNG, M"
295,"BURT, R"
296,"BUZSAKI, G"
297,"CHROBAK, J"
298,"GEISLER, C"
299,"HENZE, D"
300,"WANG, X"
301,"CALDARELLI, G"
302,"DELOSRIOS, P"
303,"MUNOZ, M"
304,"COCCETTI, F"
305,"CALLAWAY, D"
306,"HOPCROFT, J"
307,"KLEINBERG, J"
308,"STROGATZ, S"
309,"WATTS, D"
310,"CAMACHO, J"
311,"CAMPBELL, N"
312,"REECE, J"
313,"CAMPBELL, S"
314,"WANG, D"
315,"JAYAPRAKASH, C"
316,"SERVEDIO, V"
317,"COLAIORI, F"
318,"CARLSON, J"
319,"DOYLE, J"
320,"CARRERAS, B"
321,"LYNCH, V"
322,"DOBSON, I"
323,"NEWMAN, D"
324,"DOLROU, I"
325,"POOLE, A"
326,"CARUSO, F"
327,"LATORA, V"
328,"RAPISARDA, A"
329,"TADIC, B"
330,"CASTELLANO, C"
331,"VILONE, D"
332,"CATANIA, J"
333,"COATES, T"
334,"KEGELS, S"
335,"FULLILOVE, M"
336,"CHALLET, D"
337,"ZHANG, Y"
338,"CHAN, D"
339,"HUGHES, B"
340,"LEONG, A"
341,"REED, W"
342,"CHATE, H"
343,"PIKOVSKY, A"
344,"RUDZICK, O"
345,"CHAVEZ, M"
346,"HWANG, D"
347,"AMANN, A"
348,"CHEN, Q"
349,"CHANG, H"
350,"GOVINDAN, R"
351,"JAMIN, S"
352,"SHENKER, S"
353,"WILLINGER, W"
354,"CHEN, Y"
355,"RANGARAJAN, G"
356,"DING, M"
357,"CHERNIAK, C"
358,"CHANGIZI, M"
359,"KANG, D"
360,"MOKHTARZADA, Z"
361,"RODRIGUEZESTEBAN, R"
362,"CHKLOVSKII, D"
363,"KOULAKOV, A"
364,"MEL, B"
365,"SVOBODA, K"
366,"CHOWELL, G"
367,"HYMAN, J"
368,"EUBANK, S"
369,"VU, V"
370,"CLAUSET, A"
371,"MOORE, C"
372,"COHEN, J"
373,"BRIAND, F"
374,"NEWMAN, C"
375,"COHEN, R"
376,"BENAVRAHAM, D"
377,"HAVLIN, S"
378,"EREZ, K"
379,"CONNOR, R"
380,"HEITHAUS, M"
381,"BARRE, L"
382,"COPPERSMITH, S"
383,"KADANOFF, L"
384,"ZHANG, Z"
385,"CORDES, D"
386,"HAUGHTON, V"
387,"ARFANAKIS, K"
388,"CAREW, J"
389,"TURSKI, P"
390,"MORITZ, C"
391,"QUIGLEY, M"
392,"MEYERAND, M"
393,"CORMAN, S"
394,"KUHN, T"
395,"MCPHEE, R"
396,"DOOLEY, K"
397,"CORMEN, T"
398,"LEISERSON, C"
399,"RIVEST, R"
400,"STEIN, C"
401,"COSENZA, S"
402,"CRUCITTI, P"
403,"FRASCA, M"
404,"STAGNI, C"
405,"USAI, L"
406,"COULUMB, S"
407,"CRANE, D"
408,"CRIADO, R"
409,"FLORES, J"
410,"HERNANDEZBERMEJO, B"
411,"PELLO, J"
412,"ROMANCE, M"
413,"GARCIADELAMO, A"
414,"CRICK, F"
415,"KOCH, C"
416,"MARCHIORI, M"
417,"PORTA, S"
418,"CSANYI, G"
419,"SZENDROI, B"
420,"CSERMELY, P"
421,"CSETE, M"
422,"CUNHA, C"
423,"BESTAVROS, A"
424,"CROVELLA, M"
425,"CVETKOVIC, D"
426,"DOOB, M"
427,"SACHS, H"
428,"DAFONTOURACOSTA, L"
429,"DIAMBRA, L"
430,"DALEY, D"
431,"GANI, J"
432,"KENDALL, D"
433,"DALL, J"
434,"CHRISTENSEN, M"
435,"DAVIDSEN, J"
436,"DAVIS, A"
437,"GARDNER, B"
438,"GARDNER, M"
439,"DAVIS, G"
440,"GREVE, H"
441,"YOO, M"
442,"DEARCANGELIS, L"
443,"HERRMANN, H"
444,"DECASTRO, R"
445,"GROSSMAN, J"
446,"DEFFUANT, G"
447,"NEAU, D"
448,"AMBLARD, F"
449,"WEISBUCH, G"
450,"DEFRAYSSEIX, H"
451,"DEGROOT, M"
452,"DELIMAESILVA, D"
453,"MEDEIROSSOARES, M"
454,"HENRIQUES, M"
455,"SCHIVANIALVES, M"
456,"DEAGUILAR, S"
457,"DECARVALHO, T"
458,"CORSO, G"
459,"LUCENA, L"
460,"DELUCIA, M"
461,"BOTTACCIO, M"
462,"MONTUORI, M"
463,"PIETRONERO, L"
464,"DEMENEZES, M"
465,"MOUKARZEL, C"
466,"PENNA, T"
467,"DEMERS, A"
468,"GREENE, D"
469,"HAUSER, C"
470,"IRISH, W"
471,"LARSON, J"
472,"DEMOURA, A"
473,"MOTTER, A"
474,"GREBOGI, C"
475,"DERRIDA, B"
476,"FLYVBJERG, H"
477,"GARDNER, E"
478,"ZIPPELIUS, A"
479,"DESHAZER, D"
480,"BREBAN, R"
481,"OTT, E"
482,"ROY, R"
483,"DESTEXHE, A"
484,"MARDER, E"
