id,label
0,"CHOU, T"
1,"KIM, KS"
2,"OSTER, G"
3,"COLEMAN, P"
4,"PEPIN, C"
5,"TSVELIK, AM"
6,"VISHWANATH, A"
7,"SENTHIL, T"
8,"YAMAMOTO, S"
9,"FUKUI, T"
10,"SAKAI, T"
11,"SOOD, AK"
12,"BANDYOPADHYAY, R"
13,"BASAPPA, G"
14,"BASKARAN, G"
15,"HAVILIO, M"
16,"AUERBACH, A"
17,"KIM, HT"
18,"CHAUDHARY, S"
19,"RAJARAJAN, AK"
20,"SINGH, KJ"
21,"ROY, SB"
22,"CHADDAH, P"
23,"LATORA, V"
24,"RAPISARDA, A"
25,"RUFFO, S"
26,"CHOI, MS"
27,"BRUDER, C"
28,"LOSS, D"
29,"SHYTOV, AV"
30,"DERZHKO, O"
31,"KROKHMALSKII, T"
32,"RICHTER, J"
33,"ZABURANNYI, O"
34,"SHANGGUAN, WZ"
35,"AU-YEUNG, TC"
36,"RAO, XS"
37,"ONG, CK"
38,"JIN, BB"
39,"FENG, YP"
40,"STARYKH, OA"
41,"JACQUOD, PRJ"
42,"NARIMANOV, EE"
43,"STONE, AD"
44,"MALARZ, K"
45,"FRANZOSI, R"
46,"GATTO, R"
47,"PETTINI, G"
48,"PETTINI, M"
49,"CHATTOPADHYAY, AK"
50,"MACDONALD, AH"
51,"FISHER, MPA"
52,"BARCI, DG"
53,"OXMAN, LE"
54,"NEICU, T"
55,"PRADHAN, A"
56,"LAROCHELLE, DA"
57,"KUDROLLI, A"
58,"ZHU, JX"
59,"TING, CS"
60,"CHU, CW"
61,"WU, T"
62,"OGALE, SB"
63,"GARRISON, JE"
64,"NAGARAJ, B"
65,"CHEN, Z"
66,"GREENE, RL"
67,"RAMESH, R"
68,"VENKATESAN, T"
69,"MILLIS, AJ"
70,"MUTO, S"
71,"AOKI, H"
72,"TAKAGI, Y"
73,"FUJITA, M"
74,"WAKABAYASHI, K"
75,"IGAMI, M"
76,"OKADA, S"
77,"NAKADA, K"
78,"KUSAKABE, K"
79,"KWON, SK"
80,"YOUN, SJ"
81,"MIN, BI"
82,"SCHACHINGER, E"
83,"CARBOTTE, JP"
84,"RUOCCO, G"
85,"SETTE, F"
86,"LEONARDO, RD"
87,"MONACO, G"
88,"SAMPOLI, M"
89,"SCOPIGNO, T"
90,"VILIANI, G"
91,"MISHONOV, TM"
92,"MISHONOV, MT"
93,"IRKHIN, VY"
94,"KATANIN, AA"
95,"DONKOV, AA"
96,"KOLEVA, RK"
97,"PENEV, ES"
98,"BENETATOS, P"
99,"MARCHETTI, MC"
100,"VODOLAZOV, DY"
101,"MAKSIMOV, IL"
102,"PARK, K"
103,"JAIN, JK"
104,"ZHANG, Y"
105,"ONG, NP"
106,"XU, ZA"
107,"GAGNON, R"
108,"TAILLEFER, L"
109,"HU, CR"
110,"SHEEHY, DE"
111,"GOLDBART, PM"
112,"SCHMALIAN, J"
113,"YAZDANI, A"
114,"HERBUT, IF"
115,"BERNHARD, C"
116,"TALLON, JL"
117,"BRUCHER, E"
118,"KREMER, RK"
119,"YAMAMOTO, R"
120,"KOB, W"
121,"SEBASTIAN, KL"
122,"PAUL, AKR"
123,"APELL, SP"
124,"PENN, DR"
125,"JOHANSSON, P"
126,"COCHEC, JL"
127,"LAMURA, G"
128,"GAUZZI, A"
129,"LICCI, F"
130,"REVCOLEVSCHI, A"
131,"ERB, A"
132,"DEUTSCHER, G"
133,"BOK, J"
134,"ANGILELLA, GGN"
135,"SUDBOE, A"
136,"PUCCI, R"
137,"PROVASI, D"
138,"BREDA, N"
139,"BROGLIA, RA"
140,"COLO, G"
141,"ROMAN, HE"
142,"ONIDA, G"
143,"FLIESSBACH, T"
144,"MISHONOV, T"
145,"PENEV, E"
146,"CARMI, R"
147,"POLTURAK, E"
148,"KOREN, G"
149,"BOSSCHE, MVD"
150,"ZHANG, FC"
151,"MILA, F"
152,"KILIN, D"
153,"SCHREIBER, M"
154,"CORREIA, S"
155,"POLONYI, J"
156,"RICHERT, J"
157,"VILDOSOLA, VL"
158,"LLOIS, AM"
159,"SCHNEIDER, U"
160,"BRAND, R"
161,"LUNKENHEIMER, P"
162,"LOIDL, A"
163,"ROBBINS, MO"
164,"MUSER, MH"
165,"SARMA, SD"
166,"HWANG, EH"
167,"CARLSON, EW"
168,"ORGAD, D"
169,"KIVELSON, SA"
170,"EMERY, VJ"
