202,203
202,204
202,205
202,206
202,207
202,208
202,209
202,210
202,211
202,212
202,213
202,214
202,215
202,216
202,217
202,218
202,219
202,220
202,221
202,222
202,223
202,224
202,225
202,226
202,227
202,228
202,229
202,230
202,231
202,232
202,233
202,234
202,235
202,236
202,237
202,238
202,239
202,240
202,241
202,242
202,243
202,244
202,245
202,246
202,247
202,248
202,249
202,250
202,251
202,252
202,253
202,254
202,255
202,256
202,257
202,258
202,259
202,260
202,261
202,262
202,263
202,264
202,265
202,266
202,267
268,188,156.0
268,188,156.0
268,188,84.0
268,188,87.0
268,188,141.0
268,188,141.0
268,188,87.0
268,188,12.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,185.0
268,188,138.0
268,188,87.0
268,188,153.0
268,188,87.0
268,188,2.0
268,188,2.0
268,188,11.0
268,188,87.0
268,188,87.0
268,188,202.0
268,188,140.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,125.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,50.0
268,188,50.0
268,188,27.0
268,188,87.0
268,188,91.0
268,188,87.0
268,188,87.0
268,188,104.0
268,188,90.0
268,188,186.0
268,188,186.0
268,188,196.0
268,188,125.0
268,188,95.0
268,188,7.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,90.0
268,188,142.0
268,188,156.0
268,188,95.0
268,188,4.0
268,188,67.0
268,188,87.0
268,188,106.0
268,188,104.0
268,188,120.0
268,188,87.0
268,188,2.0
268,188,2.0
268,188,87.0
268,188,86.0
268,188,87.0
268,188,87.0
268,188,87.0
268,188,140.0
268,188,122.0
268,188,88.0
268,188,156.0
268,188,170.0
268,188,186.0
268,188,155.0
268,188,105.0
268,188,90.0
268,188,156.0
268,188,11.0
268,188,167.0
268,188,156.0
268,188,156.0
268,188,95.0
268,188,90.0
268,188,120.0
268,188,104.0
268,188,4.0
268,188,64.0
268,188,64.0
268,188,87.0
268,188,90.0
268,188,87.0
268,188,105.0
268,188,196.0
268,188,125.0
268,188,90.0
268,188,156.0
268,188,61.0
268,188,95.0
268,188,141.0
268,188,68.0
268,188,90.0
268,188,7.0
268,188,7.0
268,188,194.0
268,188,26.0
268,188,105.0
268,188,153.0
268,188,84.0
268,188,172.0
268,188,90.0
268,188,141.0
268,188,84.0
268,188,125.0
268,188,184.0
268,188,105.0
268,188,105.0
268,188,186.0
268,188,172.0
268,188,129.0
268,188,90.0
268,188,105.0
268,188,105.0
268,188,141.0
268,188,105.0
268,188,105.0
268,188,105.0
268,188,105.0
268,188,105.0
268,188,87.0
268,188,141.0
268,188,105.0
268,188,105.0
268,188,69.0
268,188,90.0
268,188,156.0
268,188,87.0
268,188,88.0
268,188,156.0
268,188,156.0
268,188,88.0
268,188,88.0
268,188,90.0
268,188,87.0
268,188,88.0
