2,10
5,6
5,6,16.0
6,5,16.0
8,14
9,11,15.0
13,11,16.0
14,16
20,20,40.0
20,20,52.0
20,20,931.0
20,20,116.0
20,20,128.0
20,20,426.0
20,45,56.0
20,99,3451.0
20,221,632.0
20,3011
20,300,552.0
20,281,468.0
20,502,1285.0
20,678,934.0
20,1261,1849.0
22,67,103.0
22,102,271.0
24,22,77.0
26,20,39.0
26,152,233.0
26,185,447.0
26,682,1130.0
26,327,1192.0
27,38,81.0
28,104
28,102
28,948,1389.0
31,428
31,335,479.0
32,61,122.0
36,36,686.0
36,494
36,1965
38,38,364.0
38,38
38,38,1799.0
38,20
38,309
38,108,405.0
38,1736,2879.0
38,452,857.0
39,48,59.0
39,90,135.0
39,114,175.0
39,39,888.0
39,1115,1767.0
40,40,367.0
40,40,304.0
40,40,731.0
40,145,226.0
40,281,524.0
42,42,110.0
42,42,186.0
42,168,323.0
42,200,580.0
42,200,1841.0
43,1739,2624.0
44,44,70.0
44,122
47,47,470.0
47,331
48,88,124.0
48,48
48,728,1202.0
49,73,103.0
51,51
52,38,111.0
53,97,143.0
53,186,270.0
58,58,135.0
58,104,199.0
58,240,477.0
60,70,127.0
60,353,501.0
61,61,119.0
61,119,187.0
61,239,365.0
61,450,3945.0
62,62,1613.0
62,1184,1635.0
63,331
64,168
64,1184
65,65,422.0
65,65,335.0
65,99
67,20,128.0
67,324,468.0
67,648,897.0
67,67,934.0
67,1914,3613.0
69,69
69,962
71,75,106.0
73,73,111.0
73,73,184.0
73,203,287.0
73,28,472.0
77,77,282.0
77,77,282.0
77,77,288.0
77,77,620.0
77,527,740.0
77,2676
79,96,135.0
80,39,172.0
80,39,271.0
80,868,2000.0
80,622
80,1907,2982.0
82,83
82,161
83,96,225.0
84,164,2297.0
85,99,197.0
89,39,141.0
91,91
92,125,176.0
92,174,291.0
92,1173,1722.0
93,39,159.0
93,138,216.0
95,95,744.0
95,342,1702.0
96,158,303.0
96,96
97,255,865.0
98,110,1955.0
98,98,1955.0
98,98,3855.0
98,2935
101,101,448.0
102,102,592.0
102,102
102,155,390.0
104,110,204.0
104,720,2062.0
105,102,204.0
107,849,2964.0
108,160,800.0
110,377,794.0
111,195,319.0
111,921,3509.0
111,2981
111,2449,3923.0
113,239,524.0
113,2078
114,125,191.0
115,137,235.0
119,73,257.0
120,138,302.0
125,258,888.0
125,125,1866.0
125,243,3952.0
126,149,213.0
126,342,495.0
127,149,269.0
127,403,629.0
127,1006
128,234,393.0
129,80,231.0
133,297,518.0
134,127,278.0
134,42,621.0
135,61,389.0
135,2800
137,169,252.0
137,137,436.0
137,327,602.0
139,260
142,175,347.0
143,515,4299.0
144,181,299.0
144,968,1583.0
146,339
148,206,345.0
149,126,486.0
150,150
150,812
151,205,345.0
152,187,873.0
154,213,335.0
155,159,395.0
155,509,842.0
155,501,1044.0
156,156
156,2298
158,286,430.0
158,216,395.0
158,437,829.0
158,655,1563.0
159,262,390.0
159,446,709.0
159,508,842.0
159,1497,2404.0
159,394,1911.0
160,578
161,161,304.0
161,161,2103.0
161,471,1044.0
161,2396,3295.0
162,162,503.0
162,335,802.0
162,1332
163,187,472.0
164,155,2297.0
166,243,888.0
166,451,693.0
169,169,463.0
169,387,600.0
169,626,1003.0
170,876
171,171,282.0
171,60,422.0
171,707,1026.0
171,353,509.0
171,206,1622.0
173,252
174,207,293.0
175,195,271.0
176,198,276.0
176,1038
177,187,505.0
178,137,349.0
179,783,1088.0
180,180,888.0
182,213
183,1421
183,342
185,92,284.0
186,213,301.0
187,257,393.0
187,327,584.0
187,488,841.0
190,190
192,213
193,193,752.0
193,539,1916.0
195,200,491.0
196,489,691.0
197,203,451.0
197,2405,3690.0
198,60,374.0
198,684,2287.0
199,641,2000.0
200,200
200,353,687.0
200,1345
200,1710
202,520,731.0
203,104,803.0
203,40,290.0
203,281,461.0
203,578,1989.0
203,1651,2782.0
203,2798,3764.0
204,356,688.0
204,204,374.0
204,204,348.0
205,200,498.0
206,247,501.0
206,1430,2054.0
207,395,630.0
208,207,879.0
209,488,1044.0
210,451,659.0
211,1911
212,613,903.0
214,265,385.0
216,67,584.0
217,2045
219,1358,2013.0
220,374,539.0
220,948,1836.0
221,197,271.0
221,304,557.0
221,395,616.0
221,592,846.0
221,780,1088.0
221,221,2332.0
221,516,1989.0
222,314,454.0
222,28,840.0
223,309,437.0
223,187,429.0
223,187,429.0
223,387,831.0
224,360,507.0
227,374,943.0
228,126,399.0
229,207,389.0
233,233
233,3181,4254.0
233,846
233,2504
236,309,441.0
238,207,1088.0
239,239
243,243,1097.0
243,125,1866.0
243,125
246,220,360.0
246,515,799.0
247,249,455.0
247,342,499.0
247,353,690.0
248,993,1507.0
249,205,288.0
250,198,1126.0
251,839,2893.0
254,187,439.0
255,333,478.0
257,187,466.0
258,187,401.0
259,287
259,2754
260,260,2652.0
260,1662,2745.0
262,642,1024.0
262,488
262,2127,2866.0
263,407,1342.0
264,264
265,158,477.0
266,338
267,386,856.0
268,332,477.0
268,1663,2576.0
271,2078
272,198,772.0
272,1731,2546.0
278,360,507.0
280,395,560.0
281,628,1712.0
282,36
283,344
284,551
285,586,936.0
285,2508,3833.0
286,489,843.0
288,28,594.0
288,1511,2782.0
290,343,728.0
292,1025
293,31,600.0
293,500,704.0
293,144,2085.0
294,604,2013.0
294,3204
295,373
297,368,971.0
298,428,625.0
299,710,1130.0
300,300,749.0
300,300,2600.0
300,1929,3397.0
300,1397,2148.0
301,489,948.0
302,524,4271.0
303,303,1302.0
303,1254
304,535,748.0
304,428,2630.0
305,375,1168.0
309,328,1278.0
311,613,909.0
311,80,982.0
311,516,2407.0
312,474
314,1413
315,309,889.0
315,315,1650.0
315,1211,2394.0
316,422,595.0
317,1565,2499.0
317,645,2499.0
318,482,1050.0
319,494,689.0
320,654,989.0
320,1436,2744.0
321,322,603.0
322,434,621.0
323,529,842.0
325,169,464.0
325,599
326,742,1009.0
327,430,602.0
327,1192
328,187,596.0
329,469,795.0
330,489,1796.0
330,1328,2207.0
332,335,1918.0
332,332,2037.0
332,1300,2418.0
333,335,504.0
335,336,679.0
335,288,720.0
336,1012,1389.0
338,1077
339,1215,2018.0
347,347
348,354,637.0
348,957,1404.0
349,460,686.0
350,993,1404.0
351,994,1343.0
353,495,1329.0
353,353,1298.0
354,678,1699.0
356,678,1699.0
358,288,762.0
358,243,1955.0
360,588,1335.0
361,751
362,362,973.0
362,362
362,362,2927.0
362,362,2927.0
362,2223
364,364,1726.0
364,2997
366,366,1409.0
366,364
367,717
368,690,1200.0
370,3269
371,1024,2059.0
374,2611,4156.0
375,868,2000.0
376,1074
378,486,1638.0
379,379
379,379,1119.0
379,379
379,2611
381,309,871.0
381,169,871.0
381,938,1279.0
382,381,838.0
382,384,777.0
383,1476
384,910,1279.0
385,977,1326.0
385,741,1143.0
386,726,1103.0
386,311,3871.0
387,373
390,376
391,2040
392,1840,3172.0
393,1255,1997.0
394,394,1196.0
394,394,1928.0
394,394,2019.0
394,1341,1928.0
394,1816,2482.0
395,690,1207.0
396,1079,1662.0
397,690,1913.0
398,113
402,690,1095.0
403,812
404,1577
405,706,2677.0
406,490,1661.0
407,504,817.0
407,2003
408,2916
409,568,998.0
410,1610
412,681,1234.0
413,1147,1570.0
413,413,1447.0
413,2745,3789.0
414,669,934.0
415,682,1438.0
416,669,2418.0
417,417,1507.0
417,1197
417,1703,2628.0
419,419,762.0
419,419,2059.0
419,546,1884.0
419,546,2102.0
423,423,868.0
423,423,2676.0
423,2307
424,974
425,516
426,1000
428,428,3308.0
428,1961,3308.0
429,796,1095.0
431,751,1087.0
432,1213
433,144,1515.0
435,435,1088.0
437,744
438,438
445,335,848.0
446,503,824.0
447,447,2189.0
447,206,2604.0
447,1933,4204.0
448,2783
449,1026,1619.0
449,353,1952.0
449,2367,4013.0
450,695,3555.0
451,661,1053.0
