0,118
1,118
2,118
3,189
4,96
5,190
6,97
7,2698,133.0
8,98
9,133
10,689,40.0
11,87,342.0
12,834,1548.0
13,938,2878.0
14,678,342.0
15,1375,560.0
16,1546,1384.0
17,2760
18,1542,2296.0
19,1546,1586.0
20,1555,2878.0
21,2789,1990.0
22,1275,277.0
23,20,1548.0
24,789,1630.0
25,28,886.0
26,275,1557.0
27,341,276.0
28,275,1557.0
29,1124,502.0
30,2539,17.0
31,1578,31.0
32,1963,2122.0
33,2016
34,341,211.0
35,36,1548.0
36,2397,1557.0
37,191
38,885,790.0
39,10,690.0
40,10
41,110
42,341,938.0
43,12
44,700,276.0
45,938,276.0
46,978,1548.0
47,2672,485.0
48,2131,2594.0
49,1435
50,2006
51,2162
52,1114
53,38
54,274
55,2170,1486.0
56,700,342.0
57,210,1816.0
58,1814,2177.0
59,56
60,304,342.0
61,1670,2030.0
62,1546,1586.0
63,2131,1965.0
64,1546,1586.0
65,175
66,192
67,99
68,386,2211.0
69,193
70,101
71,2178,102.0
72,304,1636.0
73,1546,1167.0
74,185
75,1668,2714.0
76,930,1651.0
77,2210,1933.0
78,2729,1954.0
79,184
80,2173,2833.0
81,2131,342.0
82,2874,1078.0
83,2003,2169.0
85,124,647.0
86,2490,1272.0
87,525,90.0
88,2038,1352.0
89,87,842.0
90,91
91,689,526.0
92,186
93,187
94,2178,2176.0
95,2667,2587.0
96,1542,2186.0
97,101,2370.0
98,2693,398.0
99,101,1548.0
100,2698,1544.0
101,2170,17.0
102,124,2186.0
103,575,2542.0
104,2131,453.0
105,1391,1581.0
106,101,1376.0
107,1542,1547.0
108,380,342.0
109,2183,2878.0
110,1546,69.0
111,1383,1615.0
112,1008
113,789,966.0
114,341,2648.0
115,978,1548.0
116,115,2878.0
117,115
118,2538,485.0
119,475,1242.0
120,2012,2711.0
121,281,124.0
122,938,211.0
123,1858,282.0
124,1461,131.0
125,2131,2176.0
126,2415,2176.0
127,2874,211.0
128,1182
129,103
130,613,1034.0
131,1931,2783.0
132,397,2213.0
133,131,2134.0
134,1101,1965.0
135,2605,842.0
136,2499,2296.0
137,180
138,104
139,2183,614.0
140,226,128.0
141,2874,2648.0
142,143,661.0
143,2490,790.0
144,2178,2401.0
145,36,1548.0
146,1814,803.0
147,1578,32.0
148,1077,2624.0
149,385,734.0
150,1546
151,700,886.0
152,1475,2186.0
153,154,1557.0
154,2243,1970.0
155,154,1557.0
156,272,1548.0
157,2826,1813.0
159,195
160,169
161,194
162,1668,342.0
163,2378,1670.0
164,1812,1953.0
165,1766,2878.0
166,2874,652.0
167,188
168,2829,2292.0
169,1542,1547.0
170,1546,1384.0
171,1924,2878.0
172,2129
173,1846,2159.0
174,118,2231.0
175,143,1021.0
176,2183,1352.0
177,2644,792.0
178,196
179,106
180,101,1544.0
181,105
182,2486
183,341,211.0
184,1579,1392.0
185,101,1544.0
186,101,1544.0
187,101,2724.0
188,1542,155.0
189,1558,1548.0
190,2693,342.0
191,101,2296.0
192,1383,1898.0
193,1546,2176.0
194,2243,1384.0
195,1546,2301.0
196,101,2547.0
197,640,2637.0
198,2155,1548.0
199,107
200,2829,1672.0
201,1546,379.0
202,2131,1142.0
203,930,2648.0
204,365
205,207,17.0
206,1693,2027.0
207,1546,206.0
208,1687
209,154,2296.0
210,341,998.0
211,14,211.0
212,281,2878.0
213,1375,1276.0
214,2566,2186.0
215,210,487.0
216,1157,1276.0
217,1773,2756.0
218,2131,1647.0
219,2667,2425.0
220,1628,144.0
221,938,1462.0
222,2179
223,938,2878.0
224,940,2186.0
225,1193
226,1668,342.0
227,143,2494.0
228,1778,211.0
229,1668,211.0
230,938,2878.0
231,554,2000.0
232,2874,2186.0
233,341,478.0
234,1461,2015.0
235,1461,2015.0
236,1952,2648.0
237,2012,2186.0
238,275,2770.0
239,2633,1814.0
240,2173,2181.0
241,1963,2519.0
242,792,701.0
243,2592,342.0
244,420,2134.0
245,640,1814.0
246,341,2599.0
247,2850,2852.0
248,2131,1647.0
249,1261
250,2127,1965.0
251,441
252,315
253,525,83.0
254,1351,342.0
255,793,877.0
256,1613,2070.0
257,1422,707.0
258,341,1548.0
259,1613,2648.0
260,258
261,1579,1392.0
262,2490,1272.0
263,274
264,1461,2176.0
265,1613,342.0
266,1905,2206.0
267,341,1769.0
268,281,648.0
269,341,2176.0
270,276,276.0
271,978,886.0
272,484,276.0
273,997,1615.0
274,1383,1548.0
275,118,886.0
276,275,790.0
277,2198,794.0
278,20,1548.0
279,20,1647.0
280,281,2296.0
281,2874,211.0
282,341,352.0
283,341,2142.0
284,341,400.0
285,341,603.0
286,341,140.0
287,351,342.0
288,1546,1615.0
289,385
290,341,939.0
291,341,2134.0
292,397,2213.0
293,341
294,1546,342.0
295,1794,2139.0
296,341,679.0
297,1461
298,1861,211.0
299,341,2015.0
300,1461,2015.0
301,789,1401.0
302,2667,2519.0
303,304,1548.0
304,733,2833.0
305,341,665.0
306,304,1525.0
307,2874,211.0
308,2252,2433.0
309,2874,1780.0
310,396
311,1546,487.0
312,341,2204.0
313,689,526.0
314,1461,2015.0
315,1542,1547.0
316,1229
317,341,17.0
318,1524,342.0
319,2178,803.0
320,304,593.0
321,2131,1352.0
322,2131,2684.0
323,1952,342.0
324,751,1376.0
325,341,2648.0
326,2131,2731.0
327,2201
328,1535,734.0
329,1666,2186.0
330,1668,2732.0
331,2178,1816.0
332,295
333,238
334,733,342.0
335,341,1994.0
336,1546,1301.0
337,2644,2134.0
338,2646
339,2727,2861.0
340,1963,1273.0
341,1524,1965.0
342,2178,1816.0
343,2779,2213.0
344,1606
345,2131,1965.0
346,2393,342.0
347,484,305.0
348,592
349,341,2578.0
350,938,350.0
351,341,679.0
352,923
353,341
354,341,276.0
355,380,125.0
356,2374,342.0
357,2874,758.0
358,923
359,393,342.0
360,341,1473.0
361,341,2532.0
362,733,342.0
363,341,2686.0
364,341,1350.0
365,341,208.0
366,369
367,341,305.0
368,1606
369,341,2176.0
370,354
371,2315
372,1546,862.0
373,341,939.0
374,1546,211.0
375,2131,342.0
376,733,976.0
377,341,1548.0
378,843,202.0
379,1546,211.0
380,341,803.0
381,2012,1462.0
382,1952,342.0
383,1542,398.0
384,341,355.0
385,304,2134.0
386,341,2015.0
387,341
388,1959
389,2698,2186.0
390,290
391,1963,1954.0
392,1542,412.0
393,1963,342.0
394,341
395,554,1548.0
396,2829,2255.0
397,341,1809.0
399,341,305.0
400,793,1494.0
401,1913,144.0
402,733,1954.0
403,527,342.0
404,1619
405,733,342.0
406,2644,1613.0
407,2202
408,2131,629.0
409,408
410,960,88.0
411,1584,515.0
412,341,1350.0
413,789,2590.0
414,2183,2878.0
415,1794,1306.0
416,571,2567.0
417,640,1756.0
418,2566,2658.0
419,2438,1965.0
420,2438,1965.0
421,2415,2176.0
422,2592,342.0
423,1596,1330.0
424,341,2059.0
425,484,1376.0
426,1546,485.0
427,426,144.0
428,1701,1713.0
429,426
430,280
431,418
432,348,734.0
433,1546,1544.0
434,1701,2556.0
435,2490,1272.0
436,341,734.0
437,534,342.0
438,885
439,2012,1961.0
440,1546,924.0
441,1896,1814.0
442,2361,2878.0
443,2131,1827.0
444,689,2556.0
445,1701,1713.0
446,542
447,1606,125.0
448,85,886.0
449,1963
450,2515,342.0
451,403,276.0
452,2374,1350.0
453,385,335.0
454,2728,938.0
455,1579,1392.0
456,1524,2134.0
457,2574,2015.0
458,1613,2878.0
459,433,1914.0
460,87,2134.0
461,1546,1971.0
462,2667,1352.0
463,2667,2134.0
464,1300,1548.0
465,2361,476.0
466,1546,762.0
467,1546,469.0
468,1606,125.0
469,2475
470,1546,2532.0
471,559,2878.0
472,1670,1352.0
473,1670,201.0
474,1670,474.0
475,2183,1654.0
476,1670,1403.0
477,341,734.0
478,385,734.0
479,2490,2778.0
480,2183,174.0
481,341,2651.0
482,478
483,478
484,341,2015.0
485,484,1965.0
486,1542,277.0
487,484
488,484,2181.0
489,2131,1954.0
490,1985,1548.0
491,2131,340.0
492,490
493,1542,398.0
494,1899,2494.0
495,315,2627.0
496,512
497,539
498,540
499,707
500,641
501,1514,642.0
502,1271,502.0
503,789,502.0
504,505
505,579,502.0
506,1271,502.0
507,2012,2186.0
508,73
509,2874,2186.0
510,2298,1557.0
511,1938,1574.0
512,2173,1306.0
513,385,734.0
514,1584,2634.0
515,2552,790.0
516,484,277.0
517,2630,1548.0
518,1593,701.0
519,154,1926.0
520,638
521,2673,276.0
522,1965,342.0
523,341,2878.0
524,1275,2671.0
525,2131,88.0
526,1145,2134.0
527,341,555.0
528,1670,2442.0
529,885,1232.0
530,2227,1814.0
531,1400,1433.0
532,276,2419.0
533,341,2015.0
534,404
535,1682,1658.0
536,789,487.0
537,1351,336.0
538,1606,211.0
539,2693,1605.0
540,210,2671.0
541,1485
542,101,1544.0
543,515,1703.0
544,664,342.0
545,2317,2186.0
546,120
547,546,2061.0
548,341,2264.0
549,488
550,753,793.0
551,10
552,341,1548.0
553,2577,1078.0
554,341,1548.0
555,2428,342.0
556,1999
557,275,1548.0
558,275,1557.0
559,2802,1548.0
560,2293,282.0
561,1375,2878.0
562,493,456.0
563,2178,803.0
564,1149,335.0
565,484,572.0
566,2874,939.0
567,2874,342.0
568,565,572.0
569,571
570,571,1384.0
571,1546,485.0
572,2570,485.0
573,1375,979.0
574,341,2565.0
575,885,2296.0
576,841,2264.0
577,1333,1085.0
578,579
579,2863,1623.0
580,1701,790.0
581,1952,2134.0
582,2507,174.0
583,725
584,341,734.0
585,571,566.0
586,341,2671.0
587,276,1384.0
588,154,886.0
589,275,2303.0
590,1546,21.0
591,2058,2878.0
592,304,342.0
593,1351,342.0
594,1473,1555.0
595,592
596,725
597,2173,939.0
598,1474
599,304,2519.0
600,655
601,1668,2565.0
602,1668,342.0
603,341,1949.0
604,2518
605,1913,2235.0
606,2874,2437.0
607,2458,1525.0
608,607
609,1546,485.0
610,938,2186.0
611,613
612,223
613,484,2878.0
614,1555,1384.0
615,1546,2401.0
616,2119,1557.0
617,614,1548.0
618,2874,2833.0
619,720
620,484,2677.0
621,1546,2750.0
622,1546,485.0
623,1611,1558.0
624,571,2570.0
625,2644,1670.0
626,1351,1177.0
627,341,2696.0
628,2131,2648.0
629,1825,1654.0
630,2173,1654.0
631,304,1525.0
632,2874,1061.0
633,388,2134.0
634,1417,1708.0
635,1858,2878.0
636,2698,2181.0
637,2178,342.0
638,1417,2853.0
639,341,1954.0
640,789,1384.0
641,846,207.0
642,1546,644.0
643,1546,643.0
644,1383,722.0
645,721
646,2874,2570.0
647,2874,211.0
648,613,2134.0
649,223
650,2183,701.0
651,2874,211.0
652,210,655.0
653,304,2833.0
654,2874,211.0
655,2156,2070.0
656,2597,1331.0
657,2570
658,789,661.0
659,2490,1272.0
660,792,2494.0
661,89,1376.0
662,13
663,2829,2186.0
664,341,381.0
665,2140
666,1271
667,1911
668,1628,1438.0
669,39,2419.0
670,1668,342.0
671,304,2234.0
672,2183,398.0
673,1546,2308.0
674,2599,1615.0
675,1497,1548.0
676,275,681.0
677,1077,2624.0
678,2874,342.0
679,678,2878.0
680,523,174.0
681,1858,277.0
682,2644,2204.0
683,341,2878.0
684,1546,65.0
685,1542,879.0
686,1952,2833.0
687,2252,969.0
688,2271
689,930,11.0
690,341,2015.0
691,1546,1557.0
692,1375,485.0
693,865,2181.0
694,1461,2702.0
695,118,1836.0
696,2752
697,1322,857.0
698,789,2853.0
699,2883,1710.0
700,885,2878.0
701,555,1548.0
702,276,276.0
703,2178,938.0
704,700,939.0
705,2374
706,210,941.0
