id,name
"Agnihotri, N. ",0
"Aurenhammer, F. ",1
"Bandelt, H.-J.",2
"Batagelj, V.",3
"Brown, J.I.",4
"Burr, S.A. ",5
"Chepoi, V.",6
"Chung, F. R.K. ",7
"Cyvin, S.J.",8
"Dahlmann, A.",9
"Dakic, T. ",10
"Dorfler, W. ",11
"Eaton, N. ",12
"El-Zahar, M.",13
"Erdos, P. ",14
"Farber, M.",15
"Feigenbaum, J.",16
"Formann, M. ",17
"Gao, G. ",18
"Graham, R.L. ",19
"Greenwell, D. ",20
"Groetschel, M.",21
"Gutman, I.",22
"Gyori, E. ",23
"Haddad, R.W. ",24
"Hagauer, J. ",25
"Haggkvist, R. ",26
"Hahn, G.",27
"Hartnell, B.L. ",28
"Hell, P. ",29
"Hershberger, J.,",30
"Idury, R.M.",31
"Imrich, W.",32
"Izbicki, H. ",33
"Jha, P.K.",34
"Klavzar, S.",35
"Kumar, R. ",36
"Larose, B.",37
"Laviolette, F.",38
"Lovasz, L.",39
"Miller, D.J. ",40
"Milutinovic, U. ",41
"Mohar, B.",42
"Mulder, H.M. ",43
"Nesetril, J.",44
"Nedela, R.",45
"Neufeld, S. ",46
"Neumann-Lara, V.",47
"Nowakowski, R.J. ",48
"Nowitz, L.A. ",49
"Pareek, C.M. ",50
"Pesch, E.",51
"Pisanski, T.",52
"Plummer, M.D.",53
"Poljak, S.",54
"Pollak, H.O. ",55
"Prisner, E. ",56
"Pultr, A. ",57
"Rodl, V.",58
"Rall, D.F. ",59
"Rival, I. ",60
"Roberts, F.S.",61
"Roth, R.L. ",62
"Saks, M.E. ",63
"Sauer, N. ",64
"Schaffer, A.A. ",65
"Schutte, H. ",66
"Seifter, N. ",67
"Shawe-Taylor, J.",68
"Shearer, J.B.",69
"Slutzki, G. ",70
"Skoviera, M. ",71
"Skrekovski, R. ",72
"Tardif, C.",73
"vande Vel, M.",74
"Wagner, F.",75
"Watkins, M.E.",76
"West, D.B. ",77
"White, A.T.",78
"Wilkeit, E. ",79
"Winkler, P.M.",80
"Yu, X., ",81
"Zhou, H. ",82
"Zhu, X. ",83
"Zmazek, B.",84
"Zerovnik, J. ",85
