id,name
S. Kambhampati,0
Christian A. Duncan,1
V. P. Grishukhin,2
T. T. Moh,3
R. P. Brent,4
Afra Zomorodian,5
Gianfranco Bilardi,6
Y. I. Yoon,7
N. Bourbaki,8
F. W. Levi,9
J. P. Kermode,10
B. B. Kimia,11
R. Livne,12
H. N. Gabow,13
Jonathan C. Hardwick,14
H. R. Brahana,15
Ulrich Huckenbeck,16
J. A. Lo,17
H. W. Scholten,18
H.-C. Im Hof,19
J. Bonet,20
F. Frances Yao,21
D. Kapur,22
Jon Michael Kleinberg,23
G. Y. Handler,24
W. Fulton,25
Derek Thompson,26
R. S. Roth,27
J. Moravek,28
J. K. Hahn,29
A. Mesa Henriquez,30
D. J. Rosenkrantz,31
J. Glimm,32
B. Smith,33
Tatsuya Akutsu,34
Leonidas J. Guibas,35
J. Rippel,36
Jochen Seemann,37
J. C. Xia,38
Christopher L. Smith,39
T. Suzuki,40
L. Shafer,41
H. Gill,42
H. A. M. de Brouwer,43
Maw Shang Chang,44
J. B. Rosen,45
J. Wolff von Gudenberg,46
J. Hopfield,47
V. G. Polimenis,48
Elmar Langetepe,49
Y. G. Stoyan,50
N. N. Metelskij,51
N. N. Metelskii,52
R. M. Murray,53
F. E. Sevilgen,54
Tom Hudson,55
G. Sander,56
T. W. Hill,57
K. R. Lee,58
W. Wright,59
M.-S. Kim,60
L. L. Larmore,61
N. I. Chernov,62
Hans-Peter Kriegel,63
E. D. Goodman,64
Timothy J. Baker,65
Christophe Schlick,66
Christian Thiel,67
V. A. Vassiliev,68
D. Nassimi,69
Matthias J. Fischer,70
Naji Mouawad,71
Peter F. Ash,72
A. D. Fisher,73
F. Pont,74
T. Luczak,75
M. M. Halldorsson,76
G. S. Brown,77
Micha Sharir,78
M. R. Henzinger,79
Q. T. Pham,80
S. C. Johnson,81
V. Ramirez Gonzalez,82
Xiao Wen Deng,83
A. Y. Zomaya,84
B. McKay,85
D. J. Gschwind,86
Y. Liu,87
Andrew S. Glassner,88
L. Paul Chew,89
J. N. Cederquist,90
M. Flickner,91
E. H. Blake,92
Jeffery Westbrook,93
T. M. Murali,94
Marc J. van Kreveld,95
C. Steward,96
E. Szemeredi,97
L.-E. Andersson,98
W. T. Reeves,99
Bonnie Berger,100
H. Nair,101
S. Muthukrishnan,102
R. E. Lynch,103
A. Buzo,104
E. G. Rees,105
J. C. Davis,106
John H. Reif,107
F. Bauernoppel,108
Eugene Fiume,109
Z.-H. Zhong,110
N. Chiba,111
J. Kavanagh,112
T. Reico,113
S. V. Smelyakov,114
M. D. Hirsch,115
K. Opitz,116
G. S. Bloom,117
S. G. Akl,118
A. Gabrielov,119
R. E. Barnhill,120
B. Willette,121
N. Leekha,122
T. Ohtsuki,123
Derick R. Wood,124
P. Wollard,125
G. Granot,126
R. J. Cimikowski,127
D. B. Levine,128
R. C. Mosteller,129
W. Li,130
J. Y. H. Fu,131
Andreas Fabri,132
D. R. Niemeyer,133
H. J. Bernstein,134
Mark Goldberg,135
M. Slusarek,136
Alan M. Frieze,137
C. D. Tomlin,138
Hristo N. Djidjev,139
G. Sierksma,140
S. M. Dorney,141
Peter Brass,142
J. Bhadury,143
O. Aberth,144
P. Henrici,145
M. Gautherie,146
Jyh-Jong Tsay,147
Ben-Arroyo,148
C. C. Handley,149
Koichi Wada,150
M. Lobo,151
K. Heaton,152
B. W. Kernighan,153
Kumar Ramaiyer,154
P. Borrel,155
M. Falk,156
D. Kim,157
M. A. Langston,158
G. A. Watson,159
J. H. Hellerstein,160
R. Heckmann,161
Matthew T. Dickerson,162
Eva K. Lee,163
Pat Hanrahan,164
Robert M. Corless,165
A. Inselberg,166
A. Klapper,167
Frank Nielsen,168
Hee-Kap Ahn,169
Pamela J. Vermeer,170
Aristides A. G. Requicha,171
A. L. Liestman,172
V. A. Zalgaller,173
B. Preis,174
David G. Kirkpatrick,175
C.-J. Su,176
Yossi Matias,177
Michael T. Hallett,178
D. R. Smith,179
Sudebkumar Prasant Pal,180
Ronitt Rubinfeld,181
C. Bradford Barber,182
S. Takahashi,183
F. C. Eigler,184
Marina Gavrilova,185
C. Ullrich,186
Warren N. Waggenspack,187
Geza Toth,188
Wielandt,189
L. Klein,190
W. R. Stewart,191
G. Rawlings,192
M. W. Jones,193
P. F. Dietz,194
L. Furlani,195
D. Wang,196
S. Geisler,197
C. Kumar,198
P. Pedersen,199
M. Shneerson,200
J. H. Friedman,201
Christos Levcopoulos,202
E. Ron Davidson,203
M. V. A. Andrade,204
Xiangping Chen,205
C. G. Armstrong,206
M. Gopi,207
V. Bhaskaran,208
William J. Lenhart,209
R. A. Liming,210
H. G. Mairson,211
S. Sairam,212
H. Tverberg,213
S. Shinotuka,214
N. L. White,215
S. Wang,216
T. Risse,217
D. Surla,218
Tycho Strijk,219
J. Heistermann,220
N. R. Chrisman,221
Bettina Klinz,222
Neil C. Rowe,223
Susan Hert,224
M.-T. Shing,225
P. J. Cameron,226
C. J. Hunt,227
M. Stonebreaker,228
Andrea Pietracaprina,229
Yasukazu Aoki,230
P. Brunet,231
S. Raghotama,232
D. A. Smith,233
J. A. Amanatides,234
Rajeev Motwani,235
M. Bertolotto,236
Lars Knipping,237
J. Dangermond,238
Giri Narasimhan,239
Sandor P. Fekete,240
R. Ringeisen,241
Francis Y. L. Chin,242
J. H. Conway,243
Sergei N. Bespamyatnikh,244
Karel Zikan,245
Steven Eker,246
G. B. Purdy,247
Paul B. Callahan,248
H. Weber,249
U. M. Landau,250
Ines Semrau,251
W. Heidrich,252
T. Zamfirescu,253
Tamas Lukovszki,254
Gyula Karolyi,255
Ferran Hurtado,256
P. Looges,257
S.-B. Shin,258
Peter J. Rousseeuw,259
M. Tokoro,260
W. E. Howden,261
M. Mignotte,262
C. Y. Hung,263
Alain Fournier,264
F. K. Hwang,265
M. A. Bauer,266
Lyudmil Aleksandrov,267
S. Toida,268
P. M. Vaidya,269
Amos Fiat,270
T. Abe,271
Gert Vegter,272
C. E. Leiserson,273
C. Stirk,274
L. Roth,275
Brendan Madden,276
Behnke,277
A. Tarski,278
H. Breu,279
E. N. Gilbert,280
Gerald Farin,281
B. Romney,282
Stefan Naher,283
K. Leichtweiss,284
C. Kinsey,285
Ida Ruts,286
Mordecai J. Golin,287
W. Lai,288
S. Poljak,289
J. F. O'Callaghan,290
T. H. Spencer,291
V. O. K. Li,292
Arnold W. M. Smeulders,293
N. Christofides,294
C. F. van Loan,295
D. W. Hearn,296
A. W. Tempelton,297
