id,name
,0
!,1
$,2
%,3
''<WHAT>,4
'BUS,5
'CELLO,6
'FLU,7
'HAIR',8
'ORRIBLE,9
'PHONE,10
'PLANE,11
'POP',12
'S,13
'S ARK,14
'S COURT,15
'TIS,16
(NO IDEA),17
(NOTHING),18
+,19
+VE,20
-A,21
-ATION,22
-BYE,23
-CHIN,24
-ER,25
-ERATION,26
-FUL,27
-IN-LAW,28
-ING,29
-ISH,30
-LY,31
-MATIC,32
-MENT,33
-NESS,34
-O,35
-OP,36
-UAL,37
-UP,38
-VAL,39
-VE,40
-WARDS,41
.,42
/,43
0,44
0-LEVEL,45
0.75,46
007,47
1,48
"1,000",49
1.059,50
1/2,51
1/2 WAY,52
1/4,53
10,54
10 PIN,55
10 YEARS,56
10%,57
100,58
100 M.P.H.,59
100 YARDS,60
100%,61
1000,62
1001,63
101,64
1066,65
10TH,66
11,67
11TH,68
12,69
13,70
14,71
144,72
16,73
16 FEET,74
16TH CENTURY,75
17,76
18,77
1800,78
18TH CENTURY,79
18TH. CENTURY,80
19,81
1900,82
1920'S,83
1930'S,84
1940,85
1948,86
1968,87
1969,88
1970,89
1972,90
1984,91
19TH CENTURY,92
1ST,93
1ST CLASS,94
1ST YEAR,95
2,96
2 PEOPLE,97
2 WEEKS,98
2+2,99
2.30,100
2/3,101
2/6,102
20,103
"20,000",104
200,105
2000,106
2001,107
2002,108
20TH,109
20TH CENTURY,110
20TH.,111
21,112
21ST,113
22,114
23,115
24,116
25,117
26,118
27,119
28,120
2D,121
2ND,122
3,123
3-PIECE,124
3.142,125
3/4,126
30,127
303,128
30TH,129
31,130
32,131
33,132
35,133
39,134
3D.,135
3RD,136
4,137
4 FEET,138
4 LEGGED,139
4/3,140
40,141
40 DAYS,142
40 WINKS,143
41,144
42,145
44,146
4TH,147
4TH STREET,148
4TH.,149
5,150
5' 10'',151
5/-,152
5/6,153
50,154
51,155
52,156
5D,157
5TH,158
6,159
60,160
60%,161
61,162
633,163
64,164
65,165
66,166
68,167
69,168
6D,169
6D.,170
7,171
70,172
70 YEARS,173
75,174
76,175
7TH,176
8,177
8 PINTS,178
80,179
84,180
8TH,181
9,182
9 O'CLOCK,183
94,184
99,185
999,186
<CROSS>,187
<DEGREES>C,188
<FEMALE>,189
<INFINITY>,190
<PI.R**2>,191
<PI>,192
<R**2>,193
<TICK>,194
<TRIANGLE>,195
<WOE> SORROW,196
=*=*,197
?,198
?!,199
A,200
A B C,201
A CAKE,202
A DAISY,203
A DUB,204
A DUB DUB,205
A FEW,206
A FRIEND,207
A GOD,208
A HAND,209
A JOB,210
A LA CARTE,211
A LAD,212
A LADY,213
A LEG,214
A LITTLE,215
A LOO,216
A LOT,217
A LOT OF,218
A LOT OF THEM,219
A NIGHT,220
A PERSON,221
A PINT,222
A PLAY,223
A POINT,224
A TIME,225
A WEEK,226
