id,name
Articles,0
GILBERT GN,1
NARIN F,2
INHABER H,3
DEBBEAVER D,4
HUSTOPECKY J,5
VLACHY J,6
POLACEK V,7
BEAVER DD,8
GARFIELD E,9
BRAUN T,10
BOALT G,11
MORAVCSIK MJ,12
CHUBIN DE,13
BLAHA K,14
SZALAI A,15
RABKIN YM,16
KUNZ M,17
MULCHENKO ZM,18
BROZEK V,19
DOBROV GM,20
KRAUZE TK,21
SMALL HG,22
SHEARER E,23
LENOIR T,24
FRAME JD,25
CARSON J,26
MULKAY M,27
MILIC V,28
SMALL H,29
LEIMKUHLER FF,30
SACHS L,31
PAO ML,32
REESPOTTER LK,33
INNES JM,34
YABLONSKY AI,35
COHEN JE,36
CARPENTER MP,37
HAITUN SD,38
CHUBIN D,39
KNORR KD,40
POKROVSKY VA,41
SHELDON JC,42
LEPAIR C,43
GORDON MD,44
BONITZ M,45
LYON WS,46
LAWSON J,47
SIMONTON DK,48
PINSKI G,49
DEWITT TW,50
MANTEN AA,51
SULLIVAN D,52
ZUCKERMAN H,53
BROOKS H,54
AVERCH H,55
MCCULLOCH R,56
MANSFIELD E,57
FREEMAN RB,58
ROSENBERG N,59
KUH CV,60
COLE S,61
BENDAVID J,62
PRICE DJD,63
BOWERS R,64
RIECKEN HW,65
LAPORTE TR,66
BECKER HA,67
CRANE D,68
HARGENS LL,69
PETERSON RA,70
EISEMON TO,71
PEARSON RE,72
CRONIN B,73
ARUNACHALAM S,74
OROMANER M,75
POTTER WG,76
TAGUE J,77
SCHRADER AM,78
MARICIC S,79
SHAW WM,80
WERLEY HH,81
HEFFNER AG,82
MARSHAKOVA IV,83
LEYDESDORFF L,84
PRICE DD,85
MCALLISTER PR,86
BINDON G,87
MALECKI EJ,88
FRIEZE IH,89
CHERNOGORENKO VB,90
FOLLY G,91
TURNER CF,92
HUBERT JJ,93
NADEL E,94
YANOVSKY VI,95
GRIFFITH BC,96
KOCHEN M,97
RUSHTON JP,98
VANHEERINGEN A,99
ADAMSON I,100
GIERYN TF,101
BRUER JT,102
HALL DH,103
BURKE CE,104
SCHUBERT A,105
HASTINGS T,106
MARTON J,107
MORSE PM,108
BRUNK GG,109
HURT CD,110
MORAVCSIK EA,111
MENKES J,112
KARAMURZA SG,113
GRANOVSKII YV,114
ALLISON PD,115
OVER R,116
ROCHE M,117
TODOROV R,118
SUBRAMANYAM K,119
CHAPMAN ID,120
BEREZKIN VG,121
BUJDOSO E,122
FREIDES T,123
COZZENS SE,124
LAWANI SM,125
BLAIVAS A,126
NAGATA H,127
LUNDBERG VA,128
MENDENHALL M,129
DEMEY M,130
FOX MF,131
ZSINDELY S,132
JAGODZINSKISIGOGNEAU M,133
BLICKENSTAFF J,134
HAIGH MJ,135
NOMA E,136
HJERPPE R,137
SHELISHCH PB,138
STEFANIAK B,139
SMART JC,140
KOENIG MED,141
LONG JS,142
LINDSEY D,143
PHILLIPS E,144
GRUPP G,145
CAMPBELL CA,146
SNIZEK WE,147
YANKEVICH WF,148
KOESTER D,149
MACROBERTS MH,150
SCHREIBER H,151
DAVIS CH,152
LEAVY MD,153
SCHWARZ S,154
BROOKES BC,155
GREGORY JG,156
LENK P,157
WHITE HD,158
YERKEY AN,159
PERITZ BC,160
UEDA S,161
MIKHAILOV AI,162
TEIERMAN VA,163
MARTIN BR,164
GALISON P,165
KRETSCHMER H,166
SOETE LG,167
SLATER PB,168
BOND JS,169
CAMPBELL RS,170
CALLON M,171
DEMAY M,172
MORLEY J,173
SCHOTT T,174
ROY R,175
ETO H,176
BALDAUF RB,177
VANHOUTEN J,178
MCCAIN KW,179
RAJESWARI AR,180
MIDORIKAWA N,181
EISEMON T,182
KHAITUN SD,183
DIETZE J,184
GATRELL AC,185
WAKEFORD R,186
STOTT NCH,187
RUSHTON P,188
SHOYINKA PH,189
BEIER FK,190
ZUNDE P,191
CARVAJAL R,192
GOLDBERG AI,193
KOEN V,194
NEU J,195
BRITTAIN JM,196
KURATA K,197
ANTON K,198
MCCREERY LS,199
CICARELLI J,200
BOICE R,201
SIRILLI G,202
ZHAO HZ,203
QURASHI MM,204
HOPKINS FL,205
NALIMOV VV,206
SENGUPTA IN,207
DIAMOND AM,208
BROWN WB,209
KARMESHU,210
LERNER J,211
MORAVSCIK MJ,212
SUPPE F,213
PYENSON L,214
POIKOLAINEN K,215
HOLMFELD JD,216
RIP A,217
STUDER KE,218
RICHARDS JM,219
RESTIVO S,220
[Anon] .,221
LENK PJ,222
VELHO L,223
SHRUM W,224
SMITH DR,225
BALDWIN DR,226
PICKERING A,227
HARTMANN C,228
LANSKY P,229
MAHONEY MJ,230
MOUNTJOY PT,231
ROSSET R,232
SMITH TE,233
BENSMAN SJ,234
GAREAU FH,235
MULLERBRETTEL M,236
CAGNIN MAH,237
MORALES M,238
EGGHE L,239
ERDLE S,240
WARE NC,241
ERES BK,242
NELSON MJ,243
SICHEL HS,244
DOREIAN P,245
SAWAI K,246
LOMNICZI B,247
TELCS A,248
BAILAR JC,249
ROSENGREN KE,250
WALLACE DP,251
PERRY LS,252
NOLTINGK BE,253
SILVERMAN RJ,254
SALTER L,255
BAKKER P,256
NEDERHOF AJ,257
LEARY RA,258
PAVITT K,259
BALOG C,260
MEDOWS J,261
GLANZEL W,262
IRVINE J,263
MOMBERS C,264
MULLINS NC,265
AVERSA ES,266
CHRISTOVAO HT,267
SZABO AT,268
SWALES JM,269
DAVIES BR,270
AMIR S,271
MOED HF,272
PORTER AL,273
LANGE L,274
LIBKIND AN,275
PRAVDIC N,276
ROTHMAN H,277
ALONI M,278
GRABE W,279
DOLMAN H,280
CUTCLIFFE SH,281
SALANCIK GR,282
SWALES J,283
STONE GL,284
CZERWON HJ,285
DIEKS D,286
EBELING W,287
ALAEZ LF,288
SHAW DF,289
TOMOV D,290
WHEALE PR,291
HE CP,292
COCKS TM,293
CHEN YS,294
ANDERSON J,295
BUDD J,296
SAITO Y,297
AIMONE AC,298
WILLIAMS B,299
HITZEROTH C,300
IVANOV SA,301
HICKS D,302
FELDMAN KA,303
RIGTER H,304
VINKLER P,305
HEALEY P,306
FRIJDAL A,307
PONTIGO J,308
YUTHAVONG Y,309
NESVETAILOV GA,310
HERRMANN DB,311
LIPATOV YS,312
JIMENEZ J,313
SIMEON V,314
CROUCH D,315
MORGAN RP,316
