id,name
Acorn Archimedes,0
ASM,1
Bell Laboratories,2
Berkeley System Distribution,3
BIFF,4
CD-ROM,5
CHRP,6
computer virus,7
EGP,8
electronic mail,9
ISO seven layer model,10
John Ousterhout,11
Mouse,12
MUD,13
nibble,14
object-oriented programming,15
SCSI,16
server,17
Tcl,18
write-through,19
Messaging Application Programming Interface,20
Emacs,21
1NF,22
2NF,23
3NF,24
4NF,25
5NF,26
"American Telephone and Telegraph, Inc.",27
Computer Telephone Integration,28
Microsoft Windows,29
Microsoft Word,30
Pascal,31
Pentium 2,32
Pentium 3,33
AS400,34
OSI,35
SGML,36
WEB,37
W2K,38
486,39
Abstract Syntax Notation 1,40
DEC,41
OSI Reference Model,42
URL,43
Windows sockets,44
ASCII,45
GCOS,46
System 5,47
Free On-line Dictionary of Computing,48
Acknowledgements,49
!,50
,51
%,52
",",53
0,54
0/1 knapsack problem,55
100BaseFX,56
100BaseT,57
100BaseTX,58
100BaseVG,59
100VG-AnyLAN,60
10base2,61
10base5,62
10baseT,63
120 reset,64
1-2-3,65
1394,66
1541,67
1581,68
16550,69
16 bit,70
16-bit application,71
1802,72
1TBS,73
1.TR.6,74
2,75
20-GATE,76
2780,77
2B1D,78
2B1Q,79
2B+D,80
2.PAK,81
320xx,82
3270,83
32-bit application,84
3780,85
386,86
386BSD,87
386SPART.PAR,88
3Com Corporation,89
3DO,90
3GL,91
3Station,92
3-tier,93
404,94
4.2BSD,95
431A,96
4510,97
473L Query,98
486SX,99
4GL,100
51forth,101
56 kbps,102
56k line,103
586,104
5ESS Switch,105
5th Glove,106
6.001,107
610,108
6309,109
64 bit,110
6501,111
6502,112
650x,113
6510,114
65816,115
6800,116
68000,117
68020,118
68030,119
68040,120
68050,121
68060,122
6809,123
680x0,124
686,125
68HC11,126
68LC040,127
6x86,128
754,129
80186,130
80188,131
802.2,132
802.3,133
80286,134
8031,135
80386,136
8048,137
8051,138
8052,139
8080,140
8086,141
8088,142
80x86,143
822,144
82430FX,145
82430HX,146
82430MX,147
82430VX,148
8.3,149
8514,150
8514-A,151
88000,152
88open,153
8-bit clean,154
8N1,155
8 queens problem,156
8 queens puzzle,157
8x86,158
90-90 Rule,159
9PAC,160
:-),161
;,162
=,163
@,164
A#,165
A-0,166
a1,167
A1 security,168
A20 handler,169
A-3,170
A3D,171
a56,172
AADL,173
AAL,174
AAP,175
AAP DTD,176
aard,177
AARP,178
AARP probe packets,179
AAUI,180
A&amp;B,181
abbrev,182
Abbreviated Test Language for Avionics Systems,183
ABC,184
ABC ALGOL,185
ABCL/1,186
ABCL/c+,187
ABCL/R,188
ABCL/R2,189
abduction,190
ABEND,191
ABI,192
ABLE,193
ABM,194
ABNF,195
abort,196
ABP,197
ABR,198
abscissa,199
ABSET,200
absolute path,201
absolute pathname,202
abstract class,203
abstract data type,204
abstract interpretation,205
abstraction,206
abstract machine,207
Abstract Machine Notation,208
abstract syntax,209
abstract syntax tree,210
Abstract-Type and Scheme-Definition Language,211
Abstract Windowing Toolkit,212
Abstract Window Toolkit,213
ABSYS,214
ACA,215
ACAP,216
Accelerated Graphics Port,217
accelerator,218
Accent,219
accept,220
Acceptable Use Policy,221
acceptance testing,222
"Acceptance, Test Or Launch Language",223
acceptor,224
Access,225
Access Control List,226
access method,227
access permission,228
access time,229
ACCLAIM,230
Accounting File,231
accounting management,232
ACCU,233
accumulator,234
accuracy,235
ACE,236
ACF,237
ACF/NCP,238
ACIA,239
ACID,240
ACIS,241
ACK,242
ACL,243
ACM,244
ACME,245
ACOM,246
Acorn Computer Group,247
Acorn Computers Ltd.,248
Acorn RISC Machine,249
ACOS,250
acoustic coupler,251
ACP,252
ACPI,253
Acrobat,254
acronym,255
ACSE,256
ACT,257
ACT++,258
Act1,259
Act2,260
Act3,261
Actalk,262
Actis,263
activation record,264
active DBMS,265
Active Directory,266
Active Language I,267
active matrix display,268
Active Monitor,269
active object,270
Active Reconfiguring Message,271
Active Server Pages,272
ActiveX,273
ACT ONE,274
Actor,275
actor,276
Actors,277
actor/singer/waiter/webmaster,278
Actra,279
Actus,280
AD,281
ad,282
Ada,283
Ada++,284
Ada 83,285
Ada 95,286
Ada 9X,287
ADABAS,288
Ada Core Technologies,289
Ada/Ed,290
Adaline,291
Ada Lovelace,292
ADAM,293
Adam7,294
Adamakegen,295
ADAMO,296
Ada-O,297
Adaplan,298
Adaplex,299
Ada Programming Support Environment,300
ADAPT,301
Adaptable User Interface,302
Adaptec,303
adaptive answering,304
Adaptive Communication Environment,305
Adaptive Digital Pulse Code Modulation,306
adaptive learning,307
adaptive routing,308
Adaptive Simulated Annealing,309
Adaptive TRansform Acoustic Coding,310
Adaptor,311
Ada Semantic Interface Specification,312
Ada Software Repository,313
ADC,314
ADCCP,315
A/D converter,316
AD/Cycle,317
ADD 1 TO COBOL GIVING COBOL,318
ADDD,319
additive,320
address,321
address bus,322
addressed call mode,323
addressee,324
addressing mode,325
address mask,326
address resolution,327
Address Resolution Protocol,328
address space,329
Address Strobe,330
ADELE,331
ADES,332
ad hoc,333
ad-hockery,334
ad-hoc polymorphism,335
Aditi,336
adjacency,337
adjacent,338
ADL,339
AdLog,340
ADM,341
ADMD,342
admin,343
Administration Management Domain,344
administrative distance,345
Administrative Domain,346
admissible,347
"Adobe Systems, Inc.",348
Adobe Type Manager,349
ADPCM,350
ADS,351
ADSL,352
ADSP,353
ADSU,354
ADT,355
Advanced Communication Function/Network Control Program,356
Advanced Communications Function,357
Advanced Computing Environment,358
Advanced Configuration and Power Interface,359
Advanced Data Communications Control Protocol,360
Advanced Encryption Standard,361
Advanced Function Presentation,362
Advanced Function Printing,363
Advanced Intelligent Tape,364
Advanced Interactive eXecutive,365
"Advanced Micro Devices, Inc.",366
Advanced Network Systems Architecture,367
Advanced Peer-to-Peer Networking,368
Advanced Power Management,369
Advanced Program-to-Program Communications,370
Advanced Research Projects Agency,371
Advanced Research Projects Agency Network,372
Advanced Revelation,373
Advanced RISC Computing Specification,374
Advanced RISC Machine,375
Advanced RISC Machines Ltd.,376
Advanced SCSI Peripheral Interface,377
Advanced Software Environment,378
Advanced STatistical Analysis Program,379
Advanced Technology Attachment,380
Advanced Technology Attachment Interface with Extensions,381
Advanced WavEffect,382
ADVENT,383
Adventure Definition Language,384
ADVSYS,385
AE,386
ae,387
AED,388
AEGIS,389
Aegis,390
Aeolus,391
AEP,392
aeroplane rule,393
AES,394
AESOP,395
af,396
AFAC,397
AFAIK,398
affine transformation,399
affordance,400
AFIPS,401
AFJ,402
AFK,403
aflex,404
AFNOR,405
AFP,406
AFS,407
AFUU,408
ag,409
agent,410
aggregate type,411
aggregation,412
AGL,413
AGM Theory for Belief Revision,414
AGORA,415
AGP,416
AGP graphics,417
A Hardware Programming Language,418
AHDL,419
AHPL,420
AI,421
ai,422
AIA,423
AI-complete,424
AID,425
AIDA,426
AIDS,427
AIDX,428
AIFF,429
AI International,430
AI koan,431
AIMACO,432
Aimnet,433
AIR,434
AIr MAterial COmmand compiler,435
airplane rule,436
AIT,437
AIX,438
AKC,439
AKCL,440
A. K. Erlang,441
AKL,442
AL,443
al,444
Aladdin Systems,445
ALADIN,446
ALAM,447
Alan F. Shugart,448
A-language,449
A Language Encouraging Program Hierarchy,450
A Language for Attributed Definitions,451
A Language with an Extensible Compiler,452
Alan Kay,453
Alan M. Turing,454
Alan Shugart,455
Alan Turing,456
A-law,457
ALC,458
Alcool-90,459
ALCOR,460
Aldat,461
ALDES,462
ALDiSP,463
ALEC,464
ALEF,465
ALEPH,466
Aleph,467
aleph 0,468
alert,469
Alex,470
Alexis,471
ALF,472
Alfl,473
algebra,474
ALGEBRAIC,475
algebraic,476
algebraic data type,477
Algebraic Interpretive Dialogue,478
Algebraic Logic Functional language,479
Algebraic Manipulation Package,480
Algebraic Specification Language,481
algebraic structure,482
Algebra of Communicating Processes,483
ALGOL,484
ALGOL 58,485
ALGOL 60,486
ALGOL 60 Modified,487
ALGOL 60 Revised,488
ALGOL 68,489
ALGOL 68C,490
ALGOL 68-R,491
ALGOL 68 Revised,492
ALGOL 68RS,493
ALGOL 68S,494
ALGOL C,495
ALGOL D,496
ALGOL N,497
ALGOL W,498
ALGOL X,499
ALGOL Y,500
algorithim,501
algorithm,502
ALgorithm DEScription,503
ALgorIthmic ASsembly language,504
Algorithmic Language,505
Algorithmic Model,506
Algorithmic Processor Description Language,507
Algorithmic Test Case Generation,508
ALGY,509
ALIAS,510
alias,511
aliasing,512
aliasing bug,513
Alice,514
alife,515
A-Life,516
ALJABR,517
Allegro,518
all-elbows,519
ALLIANCE,520
ALLOY,521
ALM,522
Aloha,523
Aloha Net,524
Alonzo Church,525
ALP,526
ALPAK,527
ALPHA,528
Alpha,529
Alpha AXP 21164,530
alpha/beta pruning,531
alpha conversion,532
Alpha EV6,533
Alpha Geek,534
alphanumeric,535
alpha particle,536
Alphard,537
alpha testing,538
ALPS,539
alt,540
ALTAC,541
Altair 8800,542
Altair 9000,543
Alta Vista,544
alt bit,545
Alternating bit protocol,546
altmode,547
ALTRAN,548
alt.sources,549
ALU,550
Aluminum Book,551
Alvey,552
AM,553
am,554
Amanda,555
A Manufacturing Language,556
amateur packet radio,557
Amber,558
AMBIT,559
AMBIT/G,560
AMBIT/L,561
AMBIT/S,562
AMBUSH,563
AMD,564
AMD 29000,565
AMD 29027,566
Amdahl,567
Amdahl Corporation,568
Amdahl's Law,569
AMD Am2901,570
AMD Am2903,571
AMD Am2910,572
AMD K7,573
American National Standard,574
American National Standards Institute,575
American Society of Mechanical Engineers,576
American Wire Gauge,577
"America On-Line, Inc.",578
America's Multimedia Online,579
AMI,580
Amiga,581
Amiga E,582
Aminet,583
AML,584
AML/E,585
AMO,586
Amoeba,587
AMP,588
amper,589
ampersand,590
AMPL,591
AMPLE,592
Amplitude Modulation,593
amp off,594
AMPPL-II,595
AMS,596
AMTRAN,597
Amulet,598
an,599
analog,600
Analog Hardware Design Language,601
analogue,602
analogue computer,603
Analogy Model,604
Analytical Engine,605
Analytical Machine,606
anchor,607
ANCP,608
AND,609
ANDF,610
Andorra-I,611
Andorra Kernel Language,612
Andorra-Prolog,613
Andrei Markov,614
Andrew File System,615
Andrew Fluegelman,616
Andrew Message System,617
Andrew Project,618
Andrew S. Tanenbaum,619
Andrew Tanenbaum,620
Andrew Toolkit,621
Andy Tanenbaum,622
An Evolutionary System for On-line Programming,623
Angel,624
angle bracket,625
angry fruit salad,626
ANI,627
Animated GIF,628
animation,629
Animus,630
ANL,631
Anna,632
annealing,633
annotate,634
ANNotated Ada,635
annotation,636
annoybot,637
annoyware,638
Annual Change Traffic,639
annulled branch,640
anonymous FTP,641
ANother Tool for Language Recognition,642
ANR,643
ANS,644
ANSA,645
ANSI,646
ANSI C,647
ANSI Minimal BASIC,648
ANSI/SPARC,649
ANSI/SPARC Architecture,650
ANSI/SPARC model,651
ANSI X12,652
ANSI Z39.50,653
Anthony Hoare,654
anti-aliasing,655
antichain,656
antisymmetric,657
antivirus software,658
ANTLR,659
ANU,660
ANU ML,661
anytime algorithm,662
ao,663
AOCE,664
AOL,665
AOP,666
AOS,667
APA,668
Apache,669
APAL,670
APAREL,671
A PArse REquest Language,672
APC,673
APDL,674
apE,675
API,676
APIC,677
APL,678
APL2,679
APLGOL,680
APLWEB,681
APM,682
Apollo Computer,683
apostrophe,684
app,685
APPC,686
AppKit,687
APPLE,688
Apple Attachment Unit Interface,689
"Apple Computer, Inc.",690
Apple II,691
Apple Macintosh,692
Apple Newton,693
Apple Open Collaboration Environment,694
AppleScript,695
Applesoft BASIC,696
applet,697
Appletalk,698
AppleTalk Data Stream Protocol,699
AppleTalk Filing Protocol,700
application,701
Application Binary Interface,702
Application Configuration Access Protocol,703
Application Control Architecture,704
application enablement services,705
Application environment specification,706
Application Executive,707
Application Integration Architecture,708
application layer,709
Application Portability Architecture,710
application program,711
Application Program Interface,712
Application Programming Interface,713
Application Protocol Data Unit,714
application server,715
Application Service Element,716
application service provider,717
applications language,718
application software,719
Application Software Installation Server,720
Application-Specific Integrated Circuit,721
Applications Programming Interface,722
applications software,723
Application Visualisation System,724
applicative language,725
Applicative Language for Digital Signal Processing,726
applicative order reduction,727
APPLOG,728
APPN,729
approximation algorithm,730
April Fool's Joke,731
A Programming Language,732
APSE,733
APT,734
APX III,735
aq,736
AQL,737
ar,738
arbitrary precision calculator,739
ARC,740
arc,741
Arcade,742
ArchBSD,743
archie,744
architecture,745
Architecture Neutral Distribution Format,746
archive,747
archive site,748
ARCnet,749
ARCS,750
Arctic,751
arena,752
ARES,753
AREV,754
AREXX,755
arg,756
argument,757
Argus,758
Ariel,759
ARI Service,760
ARITH-MATIC,761
Arithmetic and Logic Unit,762
arity,763
arj,764
Arjuna,765
ARL,766
ARM,767
ARM610,768
ARM7,769
ARM710,770
ARM7500,771
ARM8,772
ARM800,773
ARM Ltd,774
ARMM,775
armour-plated,776
ARP,777
ARPA,778
ARPANET,779
ARQ,780
array,781
array processor,782
Array Processor Assembly Language,783
Array Theory,784
arrow key,785
ART,786
Artemis microkernel,787
Artifex,788
artificial intelligence,789
Artificial Intelligence Lab,790
Artificial Life,791
artificial neural network,792
"Artisoft, Inc.",793
Artistic license,794
ARTSPEAK,795
AS,796
as,797
as31,798
ASA,799
asap,800
asbestos,801
asbestos cork award,802
asbestos longjohns,803
ascender,804
ASCII art,805
ASCIIbetical order,806
ASCIIbonics,807
ASCII graphics,808
ASDIMPL,809
ASDL,810
ASDO IMPlementation Language,811
ASE,812
A* search,813
ASF,814
ash,815
Ashmedai,816
Ashton-Tate Corporation,817
ASIC,818
A Simulation Process-Oriented Language,819
ASIS,820
ASK,821
ASL,822
ASL+,823
ASME,824
ASN,825
ASP,826
ASPECT,827
ASpecT,828
aspect,829
aspect-oriented programming,830
aspect ratio,831
ASPEN,832
ASPI,833
ASPIK,834
Aspirin,835
ASPLE,836
ASPOL,837
ASQC,838
ASR,839
ASSEMBLY,840
Assembly Language Compiler,841
Assembly Language for Multics,842
assertion,843
ASSET,844
asset management,845
Asset Source for Software Engineering Technology,846
assigned numbers,847
assignment,848
assignment problem,849
Association Control Service Element,850
Association for Computational Linguistics,851
Association for Computing,852
Association for Computing Machinery,853
Association for Progressive Communications,854
Association for SIMULA Users,855
Association Francaise des Utilisateurs d'Unix,856
Association of American Publishers,857
Association of C and C++ Users,858
Association of Lisp Users,859
associative array,860
associative memory,861
Associative Memory Parallel Processing Language,862
AST,863
ASTAP,864
"AST Computers, LLC",865
asterisk,866
asterix,867
Astral,868
"AST Research, Inc.",869
asymmetrical modulation,870
Asymmetric Digital Subscriber Line,871
Asymmetric Digital Subscriber Loop,872
asynchronous,873
Asynchronous Balanced Mode,874
Asynchronous Communications Interface Adapter,875
asynchronous logic,876
Asynchronous Transfer Mode,877
asyncronous,878
AT,879
at,880
AT-3,881
ATA,882
ATA-2,883
ATA-4,884
ATAPI,885
Atari,886
AT Attachment,887
AT Attachment Packet Interface,888
AT bus architecture,889
AtFS,890
Athena,891
Atherton Technology,892
Athlon,893
ATIS,894
ATK,895
ATLAS,896
Atlas Autocode,897
ATM,898
ATM Forum,899
ATMP,900
atob,901
ATOLL,902
atomic,903
A Tools Integration Standard,904
ATRAC,905
ATS,906
at sign,907
Attachment Unit Interface,908
AT&amp;T Bell Labs,909
atto-,910
attoparsec,911
attribute,912
Attributed File System,913
Attribute Translation System,914
ATX,915
au,916
aubergine,917
audio,918
audiographics,919
audiographic teleconferencing,920
Audio IFF,921
AudioOne,922
Audio Processing Technology,923
Audio Video Interleave,924
Augumented Backus-Naur Form,925
AUI,926
A'UM,927
AUP,928
Aurora,929
Austin Kyoto Common Lisp,930
authentication,931
authoring,932
autobaud,933
autobogotiphobia,934
AutoCAD,935
Autocode,936
AUTOCODER,937
"Autodesk, Inc.",938
AUTOEXEC.BAT,939
AUTOGRAF,940
AUTOGRP,941
Auto Idle,942
Autolisp,943
autoloader,944
automagically,945
automata,946
automata theory,947
Automated Engineering Design,948
AUTOmated GRouPing system,949
Automated Retroactive Minimal Moderation,950
automated testing,951
AUTOMATH,952
Automatically Programmed Tools,953
automatic baud rate detection,954
automatic hyphenation,955
Automatic Mathematical TRANslation,956
Automatic Network Routing,957
Automatic Number Identification,958
Automatic Repeat Request,959
Automatic Send Receive,960
Automatic Sequence Controlled Calculator,961
automation,962
Automatische Rechenplanfertigung,963
automaton,964
"Automatrix, Inc.",965
Autonomous System,966
