id,name
AACR,0
AACR2,1
AACR2e,2
AAHSL,3
AALL,4
AAP,5
AASL,6
AB Bookman's Weekly,7
ABA,8
ABAA,9
abbreviation,10
abecedarium,11
Abridged Decimal Classification (ADC),12
abridgment,13
abstract,14
abstracting service,15
academic library,16
academic press,17
academic status,18
acceptable use policy,19
access,20
access code,21
access point,22
access services,23
access time,24
accession,25
accession number,26
accession order,27
accession record,28
accompanying material,29
accreditation,30
accredited library school,31
acid paper,32
acid-free paper,33
acknowledgments,34
acquisition number,35
acquisitions,36
ACRL,37
Acrobat,38
acronym,39
ad loc.,40
ADA,41
adaptation,42
ADC,43
added copy,44
added edition,45
added entry,46
added title page,47
addendum,48
address,49
adhesive binding,50
adjacency,51
adjustable shelving,52
Adobe Acrobat,53
adult learner,54
adult services,55
advance copy,56
advance on royalty,57
advance order,58
advance sheet,59
adverts,60
aerial map,61
affiliated library,62
against the grain,63
agent,64
AI,65
AIIP,66
AILA,67
aisle,68
AJL,69
ALA,70
ALA Editions,71
album,72
alcove,73
ALCTS,74
Alexandrian Library,75
alias,76
Alibris,77
alignment,78
ALISE,79
all published,80
all rights reserved,81
allegory,82
allonym,83
allusion,84
almanac,85
alpha test,86
alphabet,87
alphabet book,88
alphabetical,89
alphameric,90
alphanumeric,91
ALSC,92
ALTA,93
alternative press,94
alternative title,95
American Association of Law Libraries (AALL),96
American Association of School Librarians (AASL),97
American Booksellers Association (ABA),98
American Indian Library Association (AILA),99
American Libraries,100
American Library Association (ALA),101
American Library Directory,102
American National Standards Institute (ANSI),103
American Printing History Association (APHA),104
American Society for Information Science (ASIS),105
American Society of Indexers (ASI),106
American Theological Library Association (ATLA),107
Americana,108
americanize,109
Americans with Disabilities Act (ADA),110
-ana or -iana,111
analects,112
analog,113
analytical bibliography,114
analytical entry,115
analytical note,116
analytics,117
Anglo-American Cataloging Rules (AACR),118
animated graphics,119
annals,120
annotated bibliography,121
annotated edition,122
annotation,123
annual,124
annual report,125
annual review,126
anonymous,127
anonymous FTP,128
ANSI,129
anthology,130
antiquarian book,131
antiquarian bookseller,132
Antiquarian Booksellers Association of America (ABAA),133
antique,134
antonym,135
APA style,136
APALA,137
APHA,138
aphorism,139
apocryphal,140
appendix,141
applet,142
application,143
approval plan,144
approval shelf,145
approvals,146
approved library school,147
archetypal novel,148
architectural binding,149
architectural rendering,150
archival copy,151
archival journal,152
archive,153
archives,154
archivist,155
area,156
argot,157
aristonym,158
ARL,159
ARLIS/NA,160
ARMA,161
armarian,162
armarium,163
ARPAnet,164
arrangement,165
arranger,166
ARSC,167
art book,168
Art Libraries Society/North America (ARLIS/NA),169
art library,170
art original,171
art print,172
article,173
artifact,174
artificial intelligence (AI),175
artwork,176
ASCII text,177
ASCLA,178
ASI,179
Asian/Pacific American Librarians Association (APALA),180
ASIS,181
association,182
association copy,183
Association for Library and Information Science Education (ALISE),184
Association for Library Collections and Technical Services (ALCTS),185
Association for Library Service to Children (ALSC),186
Association for Library Trustees and Advocates (ALTA),187
Association for Recorded Sound Collections (ARSC),188
Association of Academic Health Sciences Libraries (AAHSL),189
Association of American Publishers (AAP),190
Association of College and Research Libraries (ACRL),191
Association of Independent Information Professionals (AIIP),192
Association of Jewish Libraries,193
Association of Records Managers and Administrators (ARMA),194
Association of Research Libraries (ARL),195
Association of Specialized and Cooperative Library Agencies (ASCLA),196
asynchronous,197
athenaeum,198
ATLA,199
atlas,200
atlas case,201
atlas folio,202
attachment,203
audiobook,204
audiocassette,205
audiorecording,206
audiotape,207
audiovisual,208
authentication,209
author,210
author abstract,211
author bibliography,212
author index,213
author interview,214
author mark,215
authority control,216
authority file,217
authority record,218
authority work,219
authorization,220
authorized edition,221
author's contract,222
author's edition,223
author's editor,224
author's proof,225
authorship,226
authorware,227
autobiography,228
