id,name
Citations,0
SMALL H,1
WILLIAMS ME,2
GARFIELD E,3
WEINBERG BH,4
CAWKELL AE,5
JONES WT,6
GRIFFITH BC,7
THOMPSON CWN,8
BENDAVID J,9
MULLINS NC,10
WINDSOR DA,11
MARTYN J,12
MORAVCSIK MJ,13
CHUBIN DE,14
FRAME JD,15
SPIEGELROSING I,16
GARVEY WD,17
JONES KS,18
VANRIJSBERGEN CJ,19
NARIN F,20
BELKIN NJ,21
PRICE DDS,22
KUBOTA A,23
DIEKS D,24
STERN BT,25
ROE KE,26
KING DW,27
GOFFMAN W,28
PINSKI G,29
TAGLIACOZZO R,30
ARABIE P,31
MOLL JK,32
STUDER KE,33
GILBERT GN,34
SULLIVAN D,35
PORTER AL,36
BEARMAN TC,37
LECUYER BP,38
VLACHY J,39
BONNELLY C,40
GELLER NL,41
MENDEZ A,42
ELLIS P,43
ANDERSON RC,44
MURUGESAN P,45
OPPENHEIM C,46
DROTT MC,47
NIKITINA LN,48
ANDERSON JD,49
KUCH TDC,50
INHABER H,51
LINDSEY D,52
BUCKLAND MK,53
ROCHE T,54
HARGENS L,55
BURT RS,56
COLE S,57
SNYDER D,58
DANIEL RS,59
WYLLYS RE,60
ZUNDE P,61
WALFORD G,62
SALTON G,63
SARACEVIC T,64
CULNAN MJ,65
BRITTAIN JM,66
MANDELBAUM SJ,67
KRUMLAND RB,68
SUMMERS EG,69
SHARMA RN,70
KOENIG MED,71
NELSON SD,72
MIYAMOTO S,73
WHITE DH,74
MCDONALD DD,75
CRAWFORD S,76
BREIGER RL,77
RABKIN YM,78
KRAUZE TK,79
SHEARER E,80
RUFF I,81
LENOIR T,82
EVANS P,83
KNOKE D,84
CRAWFORD JW,85
BONACICH P,86
MULKAY M,87
MANSUR O,88
SERVI PN,89
BICHTELER J,90
HARDING AF,91
SAITO Y,92
YAMAZAKI S,93
BLASHFIELD RK,94
SACHS L,95
REESPOTTER LK,96
HAITUN SD,97
CHUBIN D,98
HARGENS LL,99
NADEL E,100
MANIER E,101
GIBBONS M,102
SNIZEK WE,103
BRUSH SG,104
POTTER J,105
ONEILL J,106
GREEN GS,107
STEWART JA,108
BUJDOSO E,109
KARAMURZA SG,110
CRONIN B,111
ANDERSON PJ,112
WHITE HD,113
MCCAIN KW,114
POTTER WG,115
SMITH LC,116
TAGUE J,117
SCHRADER AM,118
LAWANI SM,119
BAZERMAN C,120
YEARLEY S,121
JAHIEL RI,122
OROMANER M,123
MARSHAKOVA IV,124
FOLLY G,125
SHAW WM,126
KOCHEN M,127
HURT CD,128
PETERSON RA,129
BECKER JH,130
BRUER JT,131
BRAUN T,132
KOCHTANEK TR,133
ROUSE WB,134
BONZI S,135
COZZENS SE,136
PERITZ BC,137
BAILEY TA,138
HAIGH MJ,139
NOMA E,140
LONG JS,141
KOESTER D,142
LAW J,143
HAZARD GF,144
MCGRATH WE,145
LATOUR B,146
HAYES RM,147
OCONNOR J,148
LEAVY MD,149
ROSENGREN KE,150
RUDD D,151
KICK EL,152
LENK P,153
MCALLISTER PR,154
PRABHA CG,155
MARTON J,156
YERKEY AN,157
GERSON EM,158
UEDA S,159
OTSU K,160
SILVERSTONE R,161
ARTUS HM,162
ROZHKOV SA,163
STEFANYAK B,164
APOYAN G,165
MOSCOSO AI,166
SMART JC,167
MARTIN BR,168
CALLON M,169
SCHUBERT A,170
VANVLIET W,171
GIERYN TF,172
COLLINS R,173
BONITZ M,174
GATRELL AC,175
WEINER JM,176
NYE MJ,177
COURTIAL JP,178
SASAMOTO Y,179
MAYUMI I,180
BECK JR,181
SHARABCHIEV YT,182
KNAPP SD,183
PAO ML,184
BADRAN OM,185
VLADUTZ G,186
HOPKINS FL,187
RIP A,188
RICHARDS JM,189
VELHO L,190
SHRUM W,191
MACROBERTS MH,192
GALASKIEWICZ J,193
BOYCE BR,194
PITERNICK AB,195
BROWN LD,196
DAVIES R,197
MICHELET B,198
GROSS AG,199
STEPHENSON MS,200
BROOKS TA,201
KWOK KL,202
MIDORIKAWA N,203
IKPAAHINDI L,204
PERRY LS,205
