id,name
"Kuperman, M",0
"Acebron, J",1
"Bonilla, L",2
"Perezvicente, C",3
"Ritort, F",4
"Spigler, R",5
"Adamic, L",6
"Adar, E",7
"Huberman, B",8
"Lukose, R",9
"Puniyani, A",10
"Aertsen, A",11
"Gerstein, G",12
"Habib, M",13
"Palm, G",14
"Afraimovich, V",15
"Verichev, N",16
"Rabinovich, M",17
"Agrawal, H",18
"Ahuja, R",19
"Magnanti, T",20
"Orlin, J",21
"Aiello, W",22
"Chung, F",23
"Lu, L",24
"Alba, R",25
"Alberich, R",26
"Mirojulia, J",27
"Rossello, F",28
"Albert, R",29
"Albert, I",30
"Nakarado, G",31
"Barabasi, A",32
"Jeong, H",33
"Alberts, B",34
"Bray, D",35
"Lewis, J",36
"Raff, M",37
"Roberts, K",38
"Watson, J",39
"Aldana, M",40
"Aldous, D",41
"Pittel, B",42
"Aleksiejuk, A",43
"Holyst, J",44
"Stauffer, D",45
"Allaria, E",46
"Arecchi, F",47
"Digarbo, A",48
"Meucci, R",49
"Almaas, E",50
"Kovacs, B",51
"Vicsek, T",52
"Oltvai, Z",53
"Krapivsky, P",54
"Redner, S",55
"Kulkarni, R",56
"Stroud, D",57
"Alon, N",58
"Yuster, R",59
"Zwick, U",60
"Alon, U",61
"Surette, M",62
"Barkai, N",63
"Leiber, S",64
"Alter, O",65
"Brown, P",66
"Botstein, D",67
"Amaral, L",68
"Scala, A",69
"Barthelemy, M",70
"Stanley, H",71
"Amengual, A",72
"Hernandezgarcia, E",73
"Montagne, R",74
"Sanmiguel, M",75
"Ancelmeyers, L",76
"Newman, M",77
"Martin, M",78
"Schrag, S",79
"Anderson, C",80
"Wasserman, S",81
"Crouch, B",82
"Anderson, P",83
"Arrow, K",84
"Pines, D",85
"Anderson, R",86
"May, R",87
"Andersson, H",88
"Antal, T",89
"Apic, G",90
"Gough, J",91
"Teichmann, S",92
"Arenas, A",93
"Cabrales, A",94
"Diazguilera, A",95
"Guimera, R",96
"Vegaredondo, F",97
"Danon, L",98
"Gleiser, P",99
"Arita, M",100
"Ashwin, P",101
"Buescu, J",102
"Stewart, I",103
"Atay, F",104
"Jost, J",105
"Wende, A",106
"Aumann, R",107
"Hart, S",108
"Axelrod, R",109
"Bader, G",110
"Hogue, C",111
"Baiesi, M",112
"Paczuski, M",113
"Bailey, N",114
"Baird, D",115
"Ulanowicz, R",116
"Baker, W",117
"Faulkner, R",118
"Bak, P",119
"Sneppen, K",120
"Ball, F",121
"Mollison, D",122
"Scaliatomba, G",123
"Ball, P",124
"Banavar, J",125
"Maritan, A",126
"Rinaldo, A",127
"Banks, D",128
"Carley, K",129
"Bianconi, G",130
"Ravasz, E",131
"Neda, Z",132
"Schubert, A",133
"Barahona, M",134
"Pecora, L",135
"Barbour, A",136
"Reinert, G",137
"Barjoseph, Z",138
"Gerber, G",139
"Lee, T",140
"Rinaldi, N",141
"Yoo, J",142
"Robert, F",143
"Gordon, D",144
"Fraenkel, E",145
"Jaakkola, T",146
"Young, R",147
"Barrat, A",148
"Pastorsatorras, R",149
"Vespignani, A",150
"Weigt, M",151
"Barreto, E",152
"So, P",153
"Gluckmann, B",154
"Schiff, S",155
"Gondran, B",156
"Guichard, E",157
"Baryam, Y",158
"Batagelj, V",159
"Mrvar, A",160
"Battiston, S",161
"Catanzaro, M",162
"Batty, M",163
"Longley, P",164
"Bauer, M",165
"Bernard, D",166
"Bavelas, A",167
"Bchklovskii, D",168
"Schikorski, T",169
"Stevens, C",170
"Bearman, P",171
"Moody, J",172
"Stovel, K",173
"Bekessy, A",174
"Bekessy, P",175
"Komlos, J",176
"Bell, H",177
"Belykh, I",178
"Belykh, V",179
"Hasler, M",180
"Bender, E",181
"Canfield, E",182
"Bennaim, E",183
"Frauenfelder, H",184
"Toroczkai, Z",185
"Berg, J",186
"Lassig, M",187
"Wagner, A",188
"Berlow, E",189
"Bernardes, A",190
"Costa, U",191
"Araujo, A",192
"Kertesz, J",193
"Bernard, H",194
"Killworth, P",195
"Evans, M",196
"Mccarty, C",197
"Shelley, G",198
"Bhan, A",199
"Galas, D",200
"Dewey, T",201
"Capocci, A",202
"Biggs, N",203
"Bilke, S",204
"Peterson, C",205
"Blanchard, P",206
"Chang, C",207
"Kruger, T",208
"Blasius, B",209
"Huppert, A",210
"Stone, L",211
"Blower, S",212
"Samuel, M",213
"Wiley, J",214
"Boccaletti, S",215
"Bragard, J",216
"Mancini, H",217
"Kurths, J",218
"Valladares, D",219
"Osipov, G",220
"Zhou, C",221
"Pelaez, A",222
"Maza, D",223
"Boguna, M",224
"Bohland, J",225
"Minai, A",226
"Bollobas, B",227
"Riordan, O",228
"Spencer, J",229
"Tusnady, G",230
"Bonacich, P",231
"Bonanno, G",232
"Lillo, F",233
"Mantegna, R",234
"Bonnekoh, J",235
"Bordens, M",236
"Gomez, I",237
"Borgatti, S",238
"Everett, M",239
"Foster, P",240
"Borgers, C",241
"Kopell, N",242
"Bornholdt, S",243
"Ebel, H",244
"Rohlf, T",245
"Schuster, H",246
"Bota, M",247
"Dong, H",248
"Swanson, L",249
"Mendoza, C",250
"Hentschel, H",251
"Brandes, U",252
"Breiger, R",253
"Boorman, S",254
"Arabie, P",255
"Bressler, S",256
"Brin, S",257
"Page, L",258
"Broadbent, S",259
"Hammersley, J",260
"Broder, A",261
"Kumar, R",262
"Maghoul, F",263
"Raghavan, P",264
"Rajagopalan, S",265
"Stata, R",266
"Tomkins, A",267
"Wiener, J",268
"Broida, A",269
"Claffy, K",270
"Buchanan, M",271
"Buchel, C",272
"Coull, J",273
"Friston, K",274
"Bucolo, M",275
"Fortuna, L",276
"Larosa, M",277
"Buhl, J",278
"Gautrais, J",279
"Sole, R",280
"Kuntz, P",281
"Valverde, S",282
"Deneubourg, J",283
"Theraulaz, G",284
"Burda, Z",285
"Correia, J",286
"Krzywicki, A",287
"Jurkiewicz, J",288
"Burioni, R",289
"Cassi, D",290
"Vezzani, A",291
"Burns, G",292
"Young, M",293
"Burt, R",294
"Buzsaki, G",295
"Chrobak, J",296
"Geisler, C",297
"Henze, D",298
"Wang, X",299
"Caldarelli, G",300
"Delosrios, P",301
"Munoz, M",302
"Coccetti, F",303
"Callaway, D",304
"Hopcroft, J",305
"Kleinberg, J",306
"Strogatz, S",307
"Watts, D",308
"Camacho, J",309
"Campbell, N",310
"Reece, J",311
"Campbell, S",312
"Wang, D",313
"Jayaprakash, C",314
"Servedio, V",315
"Colaiori, F",316
"Carlson, J",317
"Doyle, J",318
"Carreras, B",319
"Lynch, V",320
"Dobson, I",321
"Newman, D",322
"Dolrou, I",323
"Poole, A",324
"Caruso, F",325
"Latora, V",326
"Rapisarda, A",327
"Tadic, B",328
"Castellano, C",329
"Vilone, D",330
"Catania, J",331
"Coates, T",332
"Kegels, S",333
"Fullilove, M",334
"Challet, D",335
"Zhang, Y",336
"Chan, D",337
"Hughes, B",338
"Leong, A",339
"Reed, W",340
"Chate, H",341
"Pikovsky, A",342
"Rudzick, O",343
"Chavez, M",344
"Hwang, D",345
"Amann, A",346
"Chen, Q",347
"Chang, H",348
"Govindan, R",349
"Jamin, S",350
"Shenker, S",351
"Willinger, W",352
"Chen, Y",353
"Rangarajan, G",354
"Ding, M",355
"Cherniak, C",356
"Changizi, M",357
"Kang, D",358
"Mokhtarzada, Z",359
"Rodriguezesteban, R",360
"Chklovskii, D",361
"Koulakov, A",362
"Mel, B",363
"Svoboda, K",364
"Chowell, G",365
"Hyman, J",366
"Eubank, S",367
"Vu, V",368
"Clauset, A",369
"Moore, C",370
"Cohen, J",371
"Briand, F",372
"Newman, C",373
"Cohen, R",374
"Benavraham, D",375
"Havlin, S",376
"Erez, K",377
"Connor, R",378
"Heithaus, M",379
"Barre, L",380
"Coppersmith, S",381
"Kadanoff, L",382
"Zhang, Z",383
"Cordes, D",384
"Haughton, V",385
"Arfanakis, K",386
"Carew, J",387
"Turski, P",388
"Moritz, C",389
"Quigley, M",390
"Meyerand, M",391
"Corman, S",392
"Kuhn, T",393
"Mcphee, R",394
"Dooley, K",395
"Cormen, T",396
"Leiserson, C",397
"Rivest, R",398
"Stein, C",399
"Cosenza, S",400
"Crucitti, P",401
"Frasca, M",402
"Stagni, C",403
"Usai, L",404
"Coulumb, S",405
"Crane, D",406
"Criado, R",407
"Flores, J",408
"Hernandezbermejo, B",409
"Pello, J",410
"Romance, M",411
"Garciadelamo, A",412
"Crick, F",413
"Koch, C",414
"Marchiori, M",415
"Porta, S",416
"Csanyi, G",417
"Szendroi, B",418
"Csermely, P",419
"Csete, M",420
"Cunha, C",421
"Bestavros, A",422
"Crovella, M",423
"Cvetkovic, D",424
"Doob, M",425
"Sachs, H",426
"Dafontouracosta, L",427
"Diambra, L",428
"Daley, D",429
"Gani, J",430
"Kendall, D",431
"Dall, J",432
"Christensen, M",433
"Davidsen, J",434
"Davis, A",435
"Gardner, B",436
"Gardner, M",437
"Davis, G",438
"Greve, H",439
"Yoo, M",440
"Dearcangelis, L",441
"Herrmann, H",442
"Decastro, R",443
"Grossman, J",444
"Deffuant, G",445
"Neau, D",446
"Amblard, F",447
"Weisbuch, G",448
"Defraysseix, H",449
"Degroot, M",450
"Delimaesilva, D",451
"Medeirossoares, M",452
"Henriques, M",453
"Schivanialves, M",454
"Deaguilar, S",455
"Decarvalho, T",456
"Corso, G",457
"Lucena, L",458
"Delucia, M",459
"Bottaccio, M",460
"Montuori, M",461
"Pietronero, L",462
"Demenezes, M",463
"Moukarzel, C",464
"Penna, T",465
"Demers, A",466
"Greene, D",467
"Hauser, C",468
"Irish, W",469
"Larson, J",470
"Demoura, A",471
"Motter, A",472
"Grebogi, C",473
"Derrida, B",474
"Flyvbjerg, H",475
"Gardner, E",476
"Zippelius, A",477
"Deshazer, D",478
"Breban, R",479
"Ott, E",480
"Roy, R",481
"Destexhe, A",482
"Marder, E",483
"Dezso, Z",484
"Diekmann, O",485
"Heesterbeek, J",486
"Dobrin, R",487
"Beg, Q",488
"Dodds, P",489
"Muhamad, R",490
"Rothman, D",491
"Sabel, C",492
"Dodel, S",493
"Herrmann, J",494
"Geisel, T",495
"Donath, W",496
"Hoffman, A",497
"Donetti, L",498
"Dorogovtsev, S",499
"Goltsev, A",500
"Mendes, J",501
"Samukhin, A",502
"Doye, J",503
"Du, D",504
"Gu, J",505
"Dunne, J",506
"Williams, R",507
"Martinez, N",508
"Durrett, R",509
"Eames, K",510
"Keeling, M",511
"Mielsch, L",512
"Echenique, P",513
"Gomezgardenes, J",514
"Moreno, Y",515
"Vazquez, A",516
"Eckmann, J",517
"Moses, E",518
"Egghe, L",519
"Rousseau, R",520
"Eguiluz, V",521
"Chialvo, D",522
"Cecchi, G",523
"Baliki, M",524
"Apkarian, A",525
"Klemm, K",526
"Eigen, M",527
"Schuster, P",528
"Eisenberg, D",529
"Marcotte, E",530
"Xenarios, I",531
"Yeates, T",532
"Eisenberg, E",533
"Levanon, E",534
"Eldar, A",535
"Engel, A",536
"Fries, P",537
"Singer, W",538
"Moll, C",539
"Fried, I",540
"Ojemann, G",541
"Ennis, J",542
"Erdos, P",543
"Renyi, A",544
"Ergun, G",545
"Rodgers, G",546
"Eriksen, K",547
"Simonsen, I",548
"Maslov, S",549
"Everitt, B",550
"Fabrikant, A",551
"Koutsoupias, E",552
"Papadimitriou, C",553
"Falconer, K",554
"Faloutsos, M",555
"Faloutsos, P",556
"Faloutsos, C",557
"Fararo, T",558
"Sunshine, M",559
"Farkas, I",560
"Derenyi, I",561
"Faust, K",562
"Willert, K",563
"Rowlee, D",564
"Skvoretz, J",565
"Fell, D",566
"Felleman, D",567
"Vanessen, D",568
"Femat, R",569
"Solisperales, G",570
"Ferguson, N",571
"Garnett, G",572
"Ferrericancho, R",573
"Janssen, C",574
"Kohler, R",575
"Fiduccia, C",576
"Mattheyses, R",577
"Fiedler, M",578
"Filatrella, G",579
"Straughn, B",580
"Barbara, P",581
"Fingelkurts, A",582
"Kahkonen, S",583
"Fink, K",584
"Johnson, G",585
"Carroll, T",586
"Fitzhugh, R",587
"Flake, G",588
"Lawrence, S",589
"Giles, C",590
"Coetzee, F",591
"Fontes, L",592
"Schonmann, R",593
"Spata, A",594
"Fortunato, S",595
"Foster, I",596
"Kesselman, C",597
"Fox, J",598
"Hill, C",599
"Frank, L",600
"Frank, O",601
"Strauss, D",602
"Freeman, L",603
"French, J",604
"Frith, C",605
"Liddle, P",606
"Frackowiak, R",607
"Fronczak, A",608
"Fronczak, P",609
"Jedynak, M",610
"Sienkiewicz, J",611
"Fu, C",612
"Fujisaka, H",613
"Yamada, T",614
"Gade, P",615
"Hu, C",616
"Gafiychuk, V",617
"Lubashevsky, I",618
"Stosyk, A",619
"Galaskiewicz, J",620
"Marsden, P",621
"Galstyan, A",622
"Lerman, K",623
"Gammaitoni, L",624
"Hanggi, P",625
"Jung, P",626
"Marchesoni, F",627
"Gao, Z",628
"Hu, B",629
"Hu, G",630
"Garey, M",631
"Johnson, D",632
"Garfield, E",633
"Garfinkel, I",634
"Glei, D",635
"Mclanahan, S",636
"Garlaschelli, D",637
"Castri, M",638
"Loffredo, M",639
"Gastner, M",640
"Gauthier, D",641
"Bienfang, J",642
"Gerschgorin, S",643
"Giot, L",644
"Girvan, M",645
"Glanz, J",646
"Perezpena, R",647
"Glass, L",648
"Gleiss, P",649
"Stadler, P",650
"Goh, K",651
"Ghim, C",652
"Kahng, B",653
"Kim, D",654
"Lee, D",655
"Oh, E",656
"Goldberg, D",657
"Nichols, D",658
"Oki, B",659
"Terry, D",660
"Goldbeter, A",661
"Gonze, D",662
"Houart, G",663
"Leloup, J",664
"Dupont, G",665
"Goldwasser, L",666
"Roughgarden, J",667
"Golomb, D",668
"Hansel, D",669
"Rinzel, J",670
"Golub, G",671
"Vanloan, C",672
"Floria, L",673
"Gonzales, M",674
"Sousa, A",675
"Hally, J",676
"Goodhill, A",677
"Simmen, M",678
"Willshaw, D",679
"Goodman, M",680
"Hall, D",681
"Avery, L",682
"Lockery, S",683
"Gorman, S",684
"Tangmunarunkit, H",685
"Granovetter, M",686
"Grassberger, P",687
"Gray, C",688
"Konig, P",689
"Greenhalgh, D",690
"Gregoire, G",691
"Gross, J",692
"Kujala, J",693
"Hamalainen, M",694
"Timmermann, L",695
"Schnitzler, A",696
"Salmelin, R",697
"Ion, P",698
"Guardiola, X",699
"Llas, M",700
"Perez, C",701
"Guare, J",702
"Guelzim, N",703
"Bottani, S",704
"Bourgine, P",705
"Kepes, F",706
"Giralt, F",707
"Mossa, S",708
"Turtschi, A",709
"Gupta, S",710
"Hall, G",711
"Bahar, S",712
"Hall, K",713
"Hari, R",714
"Ilmoniemi, R",715
"Knuutila, J",716
"Lounasmaa, O",717
"Handcock, M",718
"Jones, J",719
"Sompolinsky, H",720
"Harary, F",721
"Harwell, L",722
"Hopfield, J",723
"Leibler, S",724
"Murray, A",725
"Hayes, B",726
"Haynie, D",727
"Heagy, J",728
"Hegselmann, R",729
"Krause, U",730
"He, M",731
"Xu, H",732
"Sun, Q",733
"Herrero, C",734
"Herrmann, C",735
"Provero, P",736
"Hong, D",737
"Roux, S",738
"Hethcote, H",739
"Higham, D",740
"Hilgetag, C",741
"Oneill, M",742
"Scannell, J",743
"Grant, A",744
"Kaiser, M",745
"Hillier, B",746
"Hanson, J",747
"Hirsch, J",748
"Hodgkin, A",749
"Huxley, A",750
"Hoff, P",751
"Raftery, A",752
"Holland, P",753
"Leinhardt, S",754
"Holme, P",755
"Edling, C",756
"Liljeros, F",757
"Ghoshal, G",758
"Huss, M",759
"Kim, B",760
"Yoon, C",761
"Han, S",762
"Trusina, A",763
"Minnhagen, P",764
"Holmgren, C",765
"Harkany, T",766
"Svennenfors, B",767
"Zilberter, Y",768
"Holter, N",769
"Mitra, M",770
"Cieplak, M",771
"Fedroff, N",772
"Hong, H",773
"Choi, M",774
"Park, H",775
"Horn, N",776
"Ruppin, E",777
"Horwitz, B",778
"Hufnagel, L",779
"Brockmann, D",780
"Hugenii, C",781
"Yang, J",782
"Liu, W",783
"Huxham, M",784
"Beaney, S",785
"Raffaelli, D",786
"Lopezruiz, R",787
"Iamnitchi, A",788
"Ripeanu, M",789
"Ichinomiya, T",790
"Igoshin, O",791
"Kaiser, D",792
"Oster, G",793
"Ihmels, J",794
"Friedlander, G",795
"Bergmann, S",796
"Ofersarig, Y",797
"Ito, T",798
"Chiba, T",799
"Ozawa, R",800
"Yoshida, M",801
"Hattori, M",802
"Sakaki, Y",803
"Itzkovitz, S",804
"Milo, R",805
"Kashtan, N",806
"Ziv, G",807
"Jacob, F",808
"Monod, J",809
"Jacobson, V",810
"Jaffe, A",811
"Trajtenberg, M",812
"Jain, A",813
"Murty, M",814
"Flynn, P",815
"Jain, S",816
"Krishna, S",817
"Jalan, S",818
"Amritkar, R",819
"Jankowski, S",820
"Londei, A",821
"Mazur, C",822
"Lozowski, A",823
"Jansen, R",824
"Yu, H",825
"Greenbaum, D",826
"Kluger, Y",827
"Krogan, N",828
"Chung, S",829
"Emili, A",830
"Snyder, M",831
"Greenblatt, J",832
"Gerstein, M",833
"Janson, S",834
"Luczak, T",835
"Rucinski, A",836
"Jensen, H",837
"Mason, S",838
"Tombor, B",839
"Jespersen, S",840
"Blumen, A",841
"Sokolov, I",842
"Jia, L",843
"Sano, M",844
"Lai, P",845
"Chan, C",846
"Jiang, B",847
"Claramunt, C",848
"Jiang, Y",849
"Lozadacassou, M",850
"Vinet, A",851
"Jin, E",852
"Johnson, S",853
"Jordano, P",854
"Bascompte, J",855
"Olesen, J",856
"Josic, K",857
"Joy, M",858
"Jouve, B",859
"Rosentiehl, P",860
"Imbert, M",861
"Jung, S",862
"Kim, S",863
"Park, Y",864
"Kalapala, V",865
"Sanwalani, V",866
"Kaneko, K",867
"Karbowski, J",868
"Karev, G",869
"Wolf, Y",870
"Rzhetsky, A",871
"Berezovskaya, F",872
"Koonin, E",873
"Karinthy, F",874
"Karonski, M",875
"Karp, P",876
"Riley, M",877
"Paley, S",878
"Pellegrinitoole, A",879
"Krummenacker, M",880
"Kauffman, S",881
"Kautz, H",882
"Selman, B",883
"Shah, M",884
"Kephart, J",885
"White, S",886
"Kermarrec, A",887
"Ganesh, A",888
"Massoulie, L",889
"Kernighan, B",890
"Chung, J",891
"Kim, J",892
"Kinney, R",893
"Kinouchi, O",894
"Martinez, A",895
"Lima, G",896
"Lourenc, G",897
"Risaugusman, S",898
"Kirkpatrick, S",899
"Gelatt, C",900
"Vecchi, M",901
"Kiss, I",902
"Zhai, Y",903
"Hudson, J",904
"Kleczkowski, A",905
"Grenfell, B",906
"Kumar, S",907
"Klevecz, R",908
"Bolen, J",909
"Duran, O",910
"Klovdahl, A",911
"Potterat, J",912
"Woodhouse, D",913
"Muth, J",914
"Muth, S",915
"Darrow, W",916
"Klyachko, V",917
"Knuth, D",918
"Kocarev, L",919
"Parlitz, U",920
"Laurent, G",921
"Koch, M",922
"Norris, D",923
"Hundgeorgiadis, M",924
"Paturi, R",925
"Ermentrout, B",926
"Kor, J",927
"Korte, C",928
"Milgram, S",929
"Kotter, R",930
"Stephan, K",931
"Sommer, F",932
"Leyvraz, F",933
"Krause, A",934
"Frank, K",935
"Mason, D",936
"Taylor, W",937
"Krebs, V",938
"Kree, R",939
"Kretzschmar, M",940
"Vanduynhoven, Y",941
"Severijnen, A",942
"Sivakumar, D",943
"Upfal, E",944
"Zanette, D",945
"Kuramoto, Y",946
"Nakao, H",947
"Kwon, O",948
"Moon, H",949
"Lagofernandez, L",950
"Corbacho, F",951
"Huerta, R",952
"Siguenza, J",953
"Lahtinen, J",954
"Kaski, K",955
"Lawniczak, A",956
"Maxie, K",957
"Gerisch, A",958
"Lee, L",959
"Harrison, L",960
"Mechelli, A",961
"Leone, M",962
"Zecchina, R",963
"Levanquyen, M",964
"Quilichini, P",965
"Bernard, C",966
"Esclapez, M",967
"Benari, Y",968
"Gozlan, H",969
"Levin, S",970
"Li, C",971
"Chen, G",972
"Lieberman, E",973
"Hauert, C",974
"Nowak, M",975
"Aberg, Y",976
"Li, R",977
"Erneux, T",978
"Li, S",979
"Wand, H",980
"Ouyang, Q",981
"Liu, Z",982
"Lai, Y",983
"Hoppensteadt, F",984
"Ye, N",985
"Li, W",986
"Cai, X",987
"Li, X",988
"Llinas, R",989
"Lloyd, A",990
"Lockhart, D",991
"Winzeler, E",992
"Logothetis, N",993
"Pauls, J",994
"Augath, M",995
"Trinath, T",996
"Oeltermann, A",997
"Lorrain, F",998
"White, H",999
"Lotka, A",1000
"Lu, J",1001
"Yu, X",1002
"Chen, D",1003
"Lusseau, D",1004
"Lu, W",1005
"Chen, T",1006
"Macdonald, P",1007
"Macgraw, P",1008
"Menzinger, M",1009
"Mahadevan, R",1010
"Palsson, B",1011
"Ma, H",1012
"Zeng, A",1013
"Majorana, E",1014
"Mangan, S",1015
"Manna, S",1016
"Sen, P",1017
"Mari, C",1018
"Mariolis, P",1019
"Rigon, R",1020
"Giacometti, A",1021
"Rodrigueziturbe, I",1022
"Marodi, M",1023
"Dovidio, F",1024
"Marro, J",1025
"Dickman, R",1026
"Martin, R",1027
"Andras, P",1028
"Zaliznyak, A",1029
"Masoller, C",1030
"Marti, A",1031
"Massunaga, M",1032
"Bahiana, M",1033
"Masuda, N",1034
"Aihara, K",1035
"Miwa, H",1036
"Konno, N",1037
"Matthews, P",1038
"Mirollo, R",1039
"Vallone, A",1040
"Mccann, K",1041
"Hastings, A",1042
"Huxel, G",1043
"Mcgraw, P",1044
"Meester, R",1045
"Mehring, C",1046
"Hehl, U",1047
"Kubo, M",1048
"Diesmann, M",1049
"Mehta, M",1050
"Melin, G",1051
"Persson, O",1052
"Menczer, F",1053
"Belew, R",1054
"Pant, G",1055
"Ruiz, M",1056
"Srinivasan, P",1057
"Merton, R",1058
"Mewes, H",1059
"Frishman, D",1060
"Guldener, U",1061
"Mannhaupt, G",1062
"Mayer, K",1063
"Mokrejs, M",1064
"Morgenstern, B",1065
"Munsterkotter, M",1066
"Rudd, S",1067
"Weil, B",1068
"Levitt, R",1069
"Shenorr, S",1070
