id,name
"GD 94, 1 Cohen, ...",0
"GD 94, 12 Reiss",1
"GD 94, 25 Jeron, ...",2
"GD 94, 33 Mohar",3
"GD 94, 40 Papakostas, ...",4
"GD 94, 52 Foessmeier, ...",5
"GD 94, 64 Even, ...",6
"GD 94, 76 Djidjev",7
"GD 94, 84 Garg",8
"GD 94, 96 He, ...",9
"GD 94, 104 Chrobak, ...",10
"GD 94, 111 Fraysseix, ...",11
"GD 94, 119 Juenger, ...",12
"GD 94, 131 Shahrokhi, ...",13
"GD 94, 143 Eades, ...",14
"GD 94, 147 Abello, ...",15
"GD 94, 159 Dean, ...",16
"GD 94, 167 Kranakis, ...",17
"GD 94, 177 Romanik",18
"GD 94, 182 Himsolt",19
"GD 94, 194 Sander",20
"GD 94, 206 Tollis, ...",21
"GD 94, 218 Kimelman, ...",22
"GD 94, 226 Vogt, ...",23
"GD 94, 234 Tanenbaum, ...",24
"GD 94, 246 Abellanas, ...",25
"GD 94, 254 Godau",26
"GD 94,262 Manning, ...",27
"GD 94, 266 Froehlich, ...",28
"GD 94, 270 McCreary, ...",29
"GD 94, 274 McWhirter",30
"GD 94, 278 Kaugars, ...",31
"GD 94, 282 Fowler, ...",32
"GD 94, 286 Garg, .... ",33
"GD 94, 298 Papakostas",34
"GD 94, 307 Crescenzi, ...",35
"GD 94, 318 Jourdan, ...",36
"GD 94, 328 Di Battista, ...",37
"GD 94, 340 Bose, ...",38
"GD 94, 352 ElGindy, ...",39
"GD 94, 364 Sugiyama, ...",40
"GD 94,  376 Lin, ...",41
"GD 94, 388 Frick, ...",42
"GD 94, 404 Cruz, ...",43
"GD 94, 416 Brandenburg",44
"GD 94, 428 Noik",45
"GD 94, 436 Luo, ...",46
"GD 94, 444 Saalfeld",47
"GD 94, 452 Stumme, ...",48
"GD 94, 461 Whitesides",49
"GD 95, 1 Agarwal, ...",50
"GD 95, 8 Alt, ...",51
"GD 95, 20 Benz",52
"GD 95, 24 Bertault",53
"GD 95, 28 Biedl",54
"GD 95, 40 Blythe, ...",55
"GD 95, 52 Bose, ...",56
"GD 95, 64 Bose, ...",57
"GD 95, 76 Brandenburg, ...",58
"GD 95, 88 Breu, ...",59
"GD 95, 99 Bruss, ...",60
"GD 95, 111 Buti, ...",61
"GD 95, 123 Carbonneaux, ...",62
"GD 95, 127 Carpendale, ...",63
"GD 95, 140 Chandramouli, ...",64
"GD 95, 152 Cobos",65
"GD 95, 162 Cruz, ...",66
"GD 95, 166 Devroye, ...",67
"GD 95, 178 Di Battista, ...",68
"GD 95, 190 Dodson",69
"GD 95, 202 Eades, ...",70
"GD 95, 212 Eades, ...",71
"GD 95, 224 Eades, ...",72
"GD 95, 234 Fekete, ...",73
"GD 95, 242 Formella, ...",74
"GD 95, 254 Foessmeier, ...",75
"GD 95, 267 Gropp",76
"GD 95, 277 Hashemi, ...",77
"GD 95, 287 He",78
"GD 95, 300 Heath, ...",79
"GD 95, 312 Hlineny",80
"GD 95, 324 Hutchinson, ...",81
"GD 95, 333 Ignatowicz",82
"GD 95, 337 Juenger, ...",83
"GD 95, 349 Kamps, ...",84
"GD 95, 361 Kikusts, ...",85
"GD 95, 365 Kratochvil, ...",86
"GD 95, 373 Lenhart, ...",87
"GD 95, 385 Madden, ...",88
"GD 95, 396 Monien, ...",89
"GD 95, 409 North",90
"GD 95, 419 Papakostas, ...",91
"GD 95, 431 Paris",92
"GD 95, 435 Purchase, ...",93
"GD 95, 447 Sander",94
"GD 95, 459 Sander, ...",95
"GD 95, 463 Shahrokhi, ...",96
"GD 95, 472 Shieh, ...",97
"GD 95, 487 Storey, ....",98
"GD 95, 500 Sugiyama, ...",99
"GD 95, 504 Wang, ...",100
"GD 95, 516 Webber, ...",101
"GD 95, 520 Yang, ...",102
"GD 96, 1 Abellanas, ...",103
"GD 96, 11 Alzohairi, ...",104
"GD 96, 25 Bose, ...",105
"GD 96, 45 Bridgeman, ...",106
"GD 96, 53 Calamoneri, ...",107
"GD 96, 63 Chan, ...",108
"GD 96, 76 Di Battista, ...",109
"GD 96, 92 Dogrusoez, ...",110
"GD 96, 101 Eades, ...",111
"GD 96, 113 Eades, ...",112
"GD 96, 129 Eades, ...",113
"GD 96, 139 Eades, ...",114
"GD 96, 155 Foessmeier, ...",115
"GD 96, 169 Frick",116
"GD 96, 184 Frick, ...",117
"GD 96, 193 Garg, ...",118
"GD 96, 201 Garg, ...",119
"GD 96, 217 He, ...",120
"GD 96, 233 Himsolt",121
"GD 96, 241 Kakoulis, ...",122
"GD 96, 257 Kratochvil",123
"GD 96, 271 Kuchem, ...",124
"GD 96, 286 Lenhart, ...",125
"GD 96, 303 Lozada, ...",126
"GD 96, 318 Mutzel",127
"GD 96, 334 Nakano, ...",128
"GD 96, 345 Pach, ...",129
"GD 96, 355 Papakostas, ...",130
"GD 96, 371 Papakostas, ...",131
"GD 96, 387 Ryall, ...",132
"GD 96, 395 Sablowski, ...",133
"GD 96, 401 Wittenburg, ...",134
"GD 98, 1 Aggarwal, ...",135
"GD 98, 15 Bertolazzi, ...",136
"GD 98, 30 Biedl",137
"GD 98, 44 Brandes, ...",138
"GD 98, 57 Bridgeman, ...",139
"GD 98, 72 Di Battista, ...",140
"GD 98, 87 Di Battista, ...",141
"GD 98, 102 Dillencourt, ...",142
"GD 98, 111 Duncan, ...",143
"GD 98, 125 F&Atilde;&para;ssmeier, ...",144
