id,name
Stal Aanderaa,0
Hao Wang,1
Lars Aarvik,2
?,3
Martin Abadi,4
Zohar Manna,5
James Abbott,6
Richard Brent,7
Serge Abiteboul,8
Seymour Ginsburg,9
Karl Abrahamson,10
Michael J. Fischer,11
Hosame Abu-Amara,12
Michael Loui,13
John Addison,14
Stephen Kleene,15
Len Adleman,16
Manuel Blum,17
P.W. Adriaans,18
Peter van_Emde_Boas,19
Valery Agafonov,20
Boris Trakhtenbrot,21
Richa Agarwala,22
David Fernandez-Baca,23
Alok Aggarwal,24
Joseph O'Rourke,25
Shmuel Agmon,26
Scholem Mandelbrojt,27
Ajit Agrawal,28
Philip Klein,29
Al Aho,30
John Hopcroft,31
Bill Aiello,32
Shafi Goldwasser,33
Howard Aiken,34
E.L. Chaffee,35
Miklos Ajtai,36
Andras Hajnal,37
Varol Akman,38
William Randolph Franklin,39
Romas Aleliunas,40
Stephen Cook,41
Farid Alizadeh,42
J.B. Rosen,43
Brian Allen,44
Ian Munro,45
Eric Allender,46
Kimberly King,47
Helmut Alt,48
Kurt Mehlhorn,49
Lorenzo Alvisi,50
Keith Marzullo,51
Nancy Amato,52
Franco Preparata,53
Vardi Amdursky,54
Eli Shamir,55
Nina Amenta,56
Raimund Seidel,57
Foued Ameur,58
Friedhelm Meyer_auf_der_Heide,59
Amihood Amir,60
Dov Gabbay,61
D.G.M. Anderson,62
M. Krook,63
R.J. Anderson,64
Ernst W. Mayr,65
Arne Andersson,66
Svante Carlsson,67
Greg Andrews,68
Alan Shaw,69
Jamie Andrews,70
Don Sannella,71
Agnis Andzans,72
Rusins Martins Freivalds,73
Dana Angluin,74
Fred Annexstein,75
Arny Rosenberg,76
? Apers,77
? van_de_Riet,78
David Applegate,79
Ravi Kannan,80
Krzysztof Apt,81
Andrzej Mostowski,82
Lars Arge,83
Erik Meineche Schmidt,84
Eshrat Arjomandi,85
Derek G. Corneil,86
Dmitry Arkhangelsky,87
Mikhail Taitslin,88
Sanjeev Arora,89
Umesh Vazirani,90
Robert Ashenhurst,91
James Aspnes,92
Steven Rudich,93
Bengt Aspvall,94
Robert E. Tarjan,95
Mikhail Atallah,96
Rao Kosaraju,97
Hagit Attiya,98
Danny Dolev,99
Franz Aurenhammer,100
Herbert Edelsbrunner,101
Gideon Avrahami,102
Vaughan Pratt,103
Baruch Awerbuch,104
Shimon Even,105
Paul Axt,106
Yossi Azar,107
Noga Alon,108
Salman Azhar,109
John Reif,110
Pieter Cornelis Baayen,111
J. de_Groot,112
Laszlo Babai,113
Paul Turan,114
Vera Sos,115
Eric Bach,116
Leo Bachmair,117
Nachum Dershowitz,118
Ralph-Johan Back,119
Martti Tienari,120
Norman I. Badler,121
John Mylopoulos,122
Jos Baeten,123
W. Richter,124
Ricardo Baeza-Yates,125
Gaston Gonnet,126
Chandrajit Bajaj,127
Brenda Baker,128
Ron Book,129
Ted Baker,130
Juris Hartmanis,131
Miriam Balaban,132
Jose Balcazar,133
Josep Diaz,134
M.L. Balinsky,135
Albert Tucker,136
Amotz Bar-Noy,137
Eduardo F. Barbosa,138
Nivio Ziviani,139
Henk Barendregt,140
Georg Kreisel,141
David Mix Barrington,142
Michael Sipser,143
Yair Bartal,144
Amos Fiat,145
Janis Barzdins,146
Joe Bates,147
Alan Demers,148
Giuseppe Di Battista,149
Carlo Batini,150
G.M. Baudet,151
H.T. Kung,152
Marianne Baudinet,153
Aime J. Bayle,154
Forouzan Golshani,155
Rida Bazzi,156
Gil Neiger,157
Robert Beals,158
Paul Beame,159
John Beatty,160
Michael Harrison,161
Donald Beaver,162
Michael O. Rabin,163
John Beebee,164
Victor Klee,165
Catriel Beeri,166
Richard Beigel,167
John Gill,168
L.W. Beineke,169
Frank Harary,170
Mihir Bellare,171
Silvio Micali,172
Richard Bellman,173
Solomon Lefschetz,174
Amir Ben-Amram,175
Zvi Galil,176
Moti Ben-Ari,177
Amir Pnueli,178
Michael Ben-Or,179
J.D.C. Benaloh,180
? Benison,181
Robert Soare,182
Gary Benson,183
Samuel Bent,184
Jon Bentley,185
Donald Stanat,186
Jan A. Bergstra,187
Dirk van_Dalen,188
Hans Berliner,189
Allen Newell,190
Fran Berman,191
Bob Ritchie,192
Len Berman,193
Piotr Berman,194
Albert Meyer,195
Marshall Bern,196
Gene Lawler,197
Phil Bernstein,198
D. Tsichritzis,199
Andre Berthiaume,200
Gilles Brassard,201
Eike Best,202
Brian Randell,203
Peter E. Lauer,204
Sandeep Bhatt,205
Charles E. Leiserson,206
Nicole Bidoit,207
? Biezeno,208
---,209
Gianfranco Bilardi,210
G.D. Birkhoff,211
E.H. Moore,212
Garrett Birkhoff,213
Alex Birman,214
Jeffrey Ullman,215
James Bitner,216
Ed Reingold,217
Iliana Bjorling-Sachs,218
Diane Souvaine,219
Kenneth Blaha,220
Eugene Luks,221
Jean Blair,222
Errol Lloyd,223
J.O. Blanco,224
Robert Bland,225
D.R. Fulkerson,226
