id,name
Articles,0
LINDGREN I,1
BROUERS F,2
HOFRI M,3
GAINOTTI A,4
TAO SJ,5
BELL J,6
KANTELE J,7
BRANDT W,8
KUGEL HW,9
BOARDMAN AD,10
BERTOLAC.M 35,11
BUSSOLAT.C 52,12
WEISBERG H,13
OGATA A,14
HATTULA J,15
TAMMINEN A,16
WILLIAMS TL,17
NAGARAJA.T 35,18
FARR W,19
KOHONEN T,20
ZEMANN H,21
AMARI SI,22
KOKHONEN T,23
PFAFFELHUBER E,24
GEIGER G,25
POGGIO T,26
REID RJ,27
ARBIB MA,28
ROVAMO J,29
BARON RJ,30
SEJNOWSKI TJ,31
WILLWACHER G,32
RIIHIMAKI E,33
MONTEIRO P,34
HALTSONEN S,35
KOSUGI Y,36
TANAKA E,37
OJA E,38
ANDERSON JA,39
FUKUSHIMA K,40
BOHN G,41
MURAKAMI K,42
YOSHIZAWA S,43
ROEDERER JG,44
LEHTIO P,45
SINCLAIR JD,46
CAVANAGH P,47
RATCLIFF R,48
WOOD CC,49
ENQVIST MO,50
ALASAARELA E,51
COOPER LN,52
LEVY WB,53
NORMAN DA,54
JOHANNSEN G,55
LINDSTROM M,56
PERSSON PE,57
PELLIONISZ A,58
KAUPPI L,59
GUEST CC,60
PALM G,61
BOTTINI S,62
SCHWARTZ EL,63
SHIOZAKI A,64
HIRAI Y,65
DYSON SE,66
AMARI S,67
TAKIYAMA R,68
HYVARINEN J,69
JAHNS J,70
HEINONEN P,71
NELSON JB,72
BARTO AG,73
TAMMINEN M,74
BOHAC CE,75
ROSS BH,76
HECHTNIELSEN R,77
VUYLSTEKE P,78
SUTTON RS,79
MCCLELLAND JL,80
WHITEHEAD P,81
BOBROWSKI L,82
REILLY DL,83
MELKONIAN DS,84
SNYDER WE,85
SMITH JW,86
POLLOCK JJ,87
HEATH R,88
BIENENSTOCK EL,89
DALENOORT GJ,90
MERKLE F,91
HOPFIELD JJ,92
EICH JM,93
REUHKALA ES,94
MIRSALEHI MM,95
HAMPSON S,96
DESMOND NL,97
ANS B,98
ROSENFELD A,99
VELBITSKII IV,100
PAPACHRISTOU CA,101
ERDI P,102
TESKEY FN,103
LEVINE DS,104
CRICK F,105
OTSU N,106
KRUGER J,107
EASTON P,108
MUNRO PW,109
HERAULT J,110
OH SY,111
NIEMANN H,112
GOSER K,113
KNAPP AG,114
DHUMIERES D,115
PARIKH JC,116
BOURNE IHJ,117
BONSDORFF E,118
DIPRISCO GV,119
PIKE R,120
HUNDT E,121
BRESKY D,122
SCHNELLE H,123
WHITEHEAD PG,124
KAWAMOTO AH,125
FARHAT NH,126
EICHMANN G,127
HABERLY LB,128
RUMELHART DE,129
LYON G,130
MASNIKOSA VP,131
FUSTER JM,132
KADOTA H,133
STILES GS,134
LANSNER A,135
DAVIS BR,136
PERSONNAZ L,137
MURDOCK BB,138
MATSUMOTO K,139
KOVBASA SI,140
STUTTGEN HJ,141
CAULFIELD HJ,142
SAARINEN J,143
CLARK JW,144
GLASSMAN RB,145
LEVINSON SE,146
JACOBSON L,147
COHEN MS,148
TAKEDA M,149
HAUSLER G,150
YARIV A,151
