id,name
"ABBOTT, HARVEY L.",0
"ACZEL, JANOS D.",1
"AGOH, TAKASHI",2
"AHARONI, RON",3
"AIGNER, MARTIN S.",4
"AJTAI, MIKLOS",5
"ALAOGLU, LEONIDAS*",6
"ALAVI, YOUSEF",7
"ALLADI, KRISHNASWAMI",8
"ALON, NOGA",9
"ANDERSON, JAMES MILNE",10
"ANDRASFAI, BELA",11
"ANKENY, NESMITH C.*",12
"ANNING, NORMAN H.*",13
"ARKIN, JOSEPH",14
"ARNEY, DAVID C.",15
"ARONOV, BORIS",16
"ASH, J. MARSHALL",17
"ASHBACHER, CHARLES D.",18
"AVIS, DAVID M.",19
"BABAI, LASZLO",20
"BABU, GUTTI JOGESH",21
"BAGEMIHL, FREDERICK",22
"BALOG, ANTAL",23
"BANKOFF, LEON*",24
"BARAK, AMNON BRACHA",25
"BATEMAN, PAUL T.",26
"BAUMGARTNER, JAMES E.",27
"BEASLEY, LEROY B.",28
"BECK, ISTVAN",29
"BEHZAD, MEHDI",30
"BEJLEGAARD, NIELS",31
"BENKOSKI, STANLEY J.",32
"BERGELSON, VITALY",33
"BERGER, MARC ARON",34
"BERTRAM, EDWARD A.",35
"BIALOSTOCKI, ARIE",36
"BLASS, ANDREAS R.",37
"BLECKSMITH, RICHARD",38
"BLEICHER, MICHAEL N.",39
"BOALS, ALFRED J.",40
"BOAS, RALPH PHILIP, JR.*",41
"BOES, DUANE C.",42
"BOLLOBAS, BELA",43
"BONAR, DANIEL D.",44
"BONDY, JOHN ADRIAN",45
"BONNET, ROBERT",46
"BOROSH, ITSHAK",47
"BOSAK, JURAJ",48
"BOVEY, JOHN D.",49
"BRENNER, JOEL LEE*",50
"BRILLHART, JOHN D.",51
"BRINDZA, BELA",52
"BROWN, THOMAS CRAIG",53
"BROWN, WILLIAM G.",54
"BUCK, R. CREIGHTON*",55
"BUKOR, JOZEF",56
"BURR, STEFAN ANDRUS",57
"BUSOLINI, DONALD TERENCE",58
"CACCETTA, LOUIS",59
"CALKIN, NEIL J.",60
"CAMERON, PETER J.",61
"CANFIELD, E. RODNEY",62
"CARROLL, FRANCIS W.",63
"CATER, FRANK S.",64
"CATES, MARSHALL L.",65
"CATLIN, PAUL A.*",66
"CHALK, JOHN H. H.",67
"CHARTRAND, GARY",68
"CHEN, CHUAN CHONG",69
"CHEN, GUANTAO",70
"CHEN, HANG",71
"CHEN, ROBERT W.",72
"CHINN, PHYLLIS ZWEIG",73
"CHOI, SHIU LUN GODFREY",74
"CHOWLA, SARVADAMAN*",75
"CHUI, CHARLES KAM-TAI",76
"CHUNG, FAN RONG K.",77
"CHUNG, KAI-LAI",78
"CHVATAL, VACLAV",79
"CLARK, BRENT N.",80
"CLARK, LANE HENRY",81
"CLARKSON, JAMES ANDREW*",82
"CLUNIE, JAMES G.",83
"COHEN, STEPHEN D.",84
"COLBOURN, CHARLES J.",85
"CONWAY, JOHN HORTON",86
"COPELAND, ARTHUR H., SR.*",87
"CROFT, HALLARD T.",88
"CSAKI, ENDRE",89
