id,name
Acyclic Graph,0
Adjacency Matrix,1
Adjacency Structure,2
Adjacent,3
Ancestor,4
Arc,5
Arc List,6
Bipartite Graph,7
Binary Code,8
Binary Search Tree,9
Bridge,10
Child,11
Chromatic Number,12
Clique,13
Closure,14
Complete,15
Connected Component,16
Condensed Graph,17
Connected,18
Cycle,19
Decision Tree,20
Degree,21
Degree Sequence,22
Descendant,23
Diameter,24
Digraph,25
Distance,26
Edge,27
Forest,28
Graph,29
Hamiltonian,30
Height,31
Homeomorphic,32
Incidence Matrix,33
Internal Vertex,34
Isomorphic,35
k-Colorable,36
Label,37
Leaf,38
Level,39
Loop,40
m-ary Tree,41
Matching,42
Neighborhood,43
Node,44
Offspring,45
Order,46
Ordered Tree,47
Orientation,48
Parent,49
Path,50
Pendant Vertex,51
Prefix Code,52
Perfect Matching,53
Planar,54
Reduced Graph,55
Regular,56
Rooted Tree,57
Saturated vertex,58
Sibling,59
Size,60
Spanning Subgraph,61
Spanning Tree,62
Strongly Connected,63
Subgraph,64
Topological Order,65
Tournament,66
Trail,67
Tree,68
Underlying Graph,69
Vertex,70
Walk,71
